Well,Chl:630,Chl:663,Chl:750
A1,0.028,0.028,0.028
B1,0.056,0.131,0.03
C1,0.038,0.066,0.029
D1,0.039,0.069,0.029
E1,0.035,0.049,0.03
F1,0.039,0.07,0.029
G1,0.031,0.04,0.029
H1,0.06,0.149,0.03
A2,0.028,0.028,0.028
B2,0.061,0.151,0.029
C2,0.041,0.073,0.03
D2,0.039,0.076,0.029
E2,0.033,0.05,0.028
F2,0.041,0.076,0.029
G2,0.031,0.042,0.028
H2,0.066,0.167,0.032
A3,0.028,0.028,0.028
B3,0.063,0.152,0.032
C3,0.044,0.076,0.033
D3,0.04,0.076,0.028
E3,0.034,0.05,0.029
F3,0.043,0.08,0.032
G3,0.034,0.045,0.031
H3,0.068,0.17,0.033
A4,0.035,0.056,0.029
B4,0.031,0.043,0.029
C4,0.034,0.049,0.03
D4,0.054,0.126,0.029
E4,0.035,0.049,0.031
F4,0.036,0.043,0.032
G4,0.031,0.04,0.028
H4,0.037,0.066,0.028
A5,0.036,0.059,0.029
B5,0.032,0.044,0.029
C5,0.033,0.05,0.029
D5,0.057,0.137,0.03
E5,0.034,0.051,0.03
F5,0.036,0.044,0.032
G5,0.032,0.042,0.029
H5,0.039,0.071,0.028
A6,0.036,0.06,0.029
B6,0.034,0.046,0.031
C6,0.032,0.049,0.029
D6,0.058,0.139,0.03
E6,0.035,0.051,0.03
F6,0.039,0.047,0.035
G6,0.031,0.041,0.028
H6,0.04,0.072,0.029
A7,0.051,0.115,0.029
B7,0.033,0.056,0.029
C7,0.041,0.077,0.029
D7,0.061,0.161,0.029
E7,0.029,0.033,0.028
F7,0.034,0.051,0.029
G7,0.037,0.071,0.029
H7,0.03,0.038,0.029
A8,0.056,0.13,0.03
B8,0.034,0.06,0.03
C8,0.042,0.079,0.029
D8,0.067,0.181,0.029
E8,0.029,0.034,0.028
F8,0.035,0.055,0.029
G8,0.039,0.076,0.029
H8,0.031,0.039,0.028
A9,0.225,0.281,0.187
B9,0.034,0.06,0.03
C9,0.041,0.079,0.029
D9,0.067,0.182,0.029
E9,0.029,0.034,0.028
F9,0.036,0.056,0.03
G9,0.039,0.077,0.029
H9,0.031,0.039,0.028
A10,0.059,0.145,0.028
B10,0.077,0.109,0.062
C10,0.045,0.047,0.043
D10,0.048,0.104,0.028
E10,0.068,0.188,0.028
F10,0.038,0.069,0.028
G10,0.052,0.124,0.028
H10,0.046,0.098,0.029
A11,0.063,0.161,0.028
B11,0.079,0.117,0.061
C11,0.048,0.05,0.044
D11,0.052,0.118,0.028
E11,0.074,0.209,0.029
F11,0.041,0.077,0.028
G11,0.057,0.141,0.028
H11,0.048,0.109,0.029
A12,0.065,0.166,0.029
B12,0.08,0.119,0.064
C12,0.048,0.05,0.045
D12,0.052,0.119,0.029
E12,0.075,0.211,0.029
F12,0.041,0.077,0.029
G12,0.058,0.142,0.029
H12,0.051,0.112,0.031
