label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Bleached_Hot_Day0_1,Bleached_Hot_Day0_2,Bleached_Hot_Day0_3,Bleached_Hot_Day0_4,Bleached_Hot_Day0_5,Bleached_Hot_Day37_1,Bleached_Hot_Day37_2,Bleached_Hot_Day37_3,Bleached_Hot_Day37_4,Bleached_Hot_Day37_5,Bleached_Hot_Day52_1,Bleached_Hot_Day52_2,Bleached_Hot_Day52_3,Bleached_Hot_Day52_4,Bleached_Hot_Day52_5,Control_Ambient_Day0_1,Control_Ambient_Day0_2,Control_Ambient_Day0_3,Control_Ambient_Day0_4,Control_Ambient_Day0_5,Control_Ambient_Day37_1,Control_Ambient_Day37_2,Control_Ambient_Day37_3,Control_Ambient_Day37_4,Control_Ambient_Day37_5,Control_Ambient_Day52_1,Control_Ambient_Day52_2,Control_Ambient_Day52_3,Control_Ambient_Day52_4,Control_Ambient_Day52_5,Mortality_Hot_Day0_1,Mortality_Hot_Day0_2,Mortality_Hot_Day0_3,Mortality_Hot_Day0_4,Mortality_Hot_Day0_5,Mortality_Hot_Day37_1,Mortality_Hot_Day37_2,Mortality_Hot_Day37_3,Mortality_Hot_Day37_4,Mortality_Hot_Day37_5,Mortality_Hot_Day52_1,Mortality_Hot_Day52_2,Mortality_Hot_Day52_3,Mortality_Hot_Day52_4,Mortality_Hot_Day52_5
,1,1,10,613.157288,12.442,0.849129,[M+H]+,,Glutathione disulfide,Glutathione disulfide,C20H32N6O12S2,0.268,3.185347,613.157288,0.00,0.00,0.00,0.00,0.00,1496.62,8931.33,0.00,2691.88,0.00,2287.52,0.00,0.00,16732.28,1735.30,7192.75,15595.77,0.00,0.00,0.00,2492.93,0.00,0.00,42796.33,0.00,1318.70,0.00,3229.28,4618.67,5412.34,1994.43,2068.05,2270.95,2223.55,2665.78,0.00,0.00,0.00,21872.65,5912.86,1717.49,0.00,6951.67,1997.23,2741.87,0.00,33998.54,13001.35
,2,2,45,147.112473,12.445,0.813474,[M+H]+,,Lysine,Lysine,C6H14N2O2,0.225,2.281877,147.112473,24328.07,19599.57,17153.00,471775.75,762655.00,898669.81,854449.00,1047736.69,4311881.50,1833665.88,2999805.25,3729546.75,3754282.25,6100459.50,2878569.00,6555812.00,2710617.75,1631881.38,2923671.25,1028675.06,1061138.62,4209492.00,1058427.00,3619379.25,1102748.88,799918.81,1963546.38,1043282.75,1870074.50,593522.31,599161.06,2767201.00,812245.06,1571855.12,854595.19,967934.25,728846.94,656597.56,5558075.50,5031672.00,3582812.75,3968169.25,5609313.50,2484761.25,9556787.00,6154019.50,6678469.50,2241277.00
,3,3,45,175.118759,11.395,0.805610,[M+H]+,,Arginine,Arginine,C6H14N4O2,0.215,1.132740,175.118759,55364.80,28267.73,174783.92,2970443.00,4117396.00,4586708.50,4038089.25,4633519.00,43584256.00,28456718.00,29313072.00,29127978.00,46963008.00,76964072.00,36217452.00,60190468.00,30665136.00,27384190.00,11404476.00,4007710.00,6971811.50,20778826.00,8676027.00,18633714.00,6445396.50,5516358.00,13812295.00,4659508.50,10170183.00,3363947.25,4426273.50,17366958.00,3985410.00,7283780.00,4272677.00,5842684.00,4653087.50,5950518.00,49678476.00,54951744.00,34771936.00,35916804.00,89251848.00,30303630.00,90519960.00,60783972.00,74725512.00,49504780.00
,4,4,40,133.097000,11.403,0.840648,[M+H]+,,Ornithine,Ornithine,C5H12N2O2,0.177,1.146440,133.097000,15498.92,8916.33,3177.47,44820.01,37723.20,29402.21,28667.54,55145.76,41860.38,26096.19,58139.19,44131.93,67449.07,59260.39,61972.23,79018.57,79017.88,36374.19,76400.07,43078.22,41246.45,82463.25,39461.61,128130.15,34725.01,22087.40,38596.71,26505.61,39575.57,30723.73,14192.08,48908.71,19663.48,50381.94,27470.94,37595.93,28455.71,17694.32,80087.29,39241.93,40425.94,46205.86,86365.38,48322.96,85163.07,55570.55,56538.56,50710.03
,5,5,7,365.047882,10.792,0.827146,[M+H]+,,Xanthosine-5-phosphate,Xanthosine-5-phosphate,C10H13N4O9P,0.688,3.845532,365.047882,0.00,0.00,0.00,0.00,1822.36,1751.95,1558.10,0.00,2136.79,3173.24,8061.39,5862.16,2604.11,2368.31,1974.79,6786.16,7011.60,0.00,2773.63,0.00,5628.11,3857.19,2790.53,3036.69,0.00,1642.06,0.00,2955.93,9168.90,2119.41,2526.52,0.00,0.00,2499.69,0.00,0.00,2260.92,0.00,3124.20,3670.08,6289.67,5183.86,8984.27,2443.61,11332.94,3278.17,11094.81,2864.71
,6,6,45,189.134109,10.689,0.857251,[M+H]+,,Homoarginine,Homoarginine,C7H16N4O2,0.751,2.581660,189.134109,0.00,0.00,2457.21,213007.45,209316.06,355694.78,475953.50,234250.08,847796.50,584535.94,1330594.00,1274790.12,910471.44,1584233.38,914055.31,2260539.25,1108217.00,628145.81,613307.69,624213.44,532670.19,841228.75,465037.62,804711.69,621697.12,531615.12,340550.28,414628.09,396231.41,284776.56,328029.22,768689.94,340590.22,428026.75,384433.09,449181.53,490039.34,357654.62,1455718.38,2606812.75,1549954.38,1308264.38,2119480.75,857476.25,3147986.25,2128571.00,3483796.25,2222478.50
,7,7,12,261.036438,11.041,0.831562,[M+H]+,,Glucose-6-phosphate,Glucose-6-phosphate,C6H13O9P,0.219,2.104362,261.036438,0.00,0.00,0.00,3779.28,0.00,3279.71,11472.44,0.00,0.00,2920.54,5051.95,19753.26,2393.55,24845.15,0.00,2569.42,17340.62,1755.56,1955.12,0.00,2852.54,0.00,2040.98,17333.09,0.00,2135.23,0.00,2910.05,7054.14,5645.42,0.00,3691.30,0.00,0.00,0.00,0.00,1612.35,0.00,25132.39,2457.33,2710.59,1435.11,12342.43,2182.26,3495.10,1919.65,46856.85,23141.98
,8,8,45,184.072876,10.775,0.858918,[M+H]+,,Phosphocholine,Phosphocholine,C5H14NO4P,0.415,2.403960,184.072876,0.00,0.00,2021.34,832465.44,2151047.75,1125333.00,1824231.88,898097.44,1957684.00,5332149.50,4153213.00,5693093.50,2761795.75,4473332.50,2260349.25,6853642.50,6318751.50,2437990.00,2461653.25,867787.25,3794409.75,1467429.38,2840529.75,4563424.50,659707.44,2939245.75,1087969.75,3332773.00,5217571.50,1500883.00,2715694.75,2202214.50,1497239.88,1558200.00,1589261.38,953800.50,1884325.50,1020387.00,5085630.00,4274507.00,4798063.50,3789977.75,6430462.50,2683892.50,8762624.00,4124773.75,11412272.00,4627056.50
,9,9,6,364.064789,10.313,0.843769,[M+H]+,,GMP,GMP,C10H14N5O8P,0.537,1.341192,364.064789,0.00,0.00,0.00,0.00,1826.67,0.00,2394.90,0.00,1987.47,0.00,0.00,1699.20,1943.74,2515.38,2224.01,0.00,0.00,0.00,0.00,0.00,3256.71,0.00,2130.03,11207.85,0.00,2064.12,2049.91,2230.36,2070.98,6485.67,0.00,2536.94,0.00,0.00,2335.04,0.00,0.00,0.00,12248.57,2421.07,0.00,0.00,13152.72,0.00,3347.29,0.00,18859.05,3065.65
,10,10,15,324.058411,10.107,0.847582,[M+H]+,,CMP,CMP,C9H14N3O8P,0.573,2.260149,324.058411,0.00,0.00,0.00,3111.24,6475.41,2100.67,8256.80,0.00,0.00,12496.35,19047.32,16923.57,2114.85,13846.61,0.00,3549.28,14885.27,1925.04,4631.91,2043.09,17731.17,0.00,5671.20,3197.72,0.00,2312.16,2452.85,0.00,2577.77,2916.67,5015.43,4012.74,0.00,3788.37,4464.88,2042.97,0.00,1623.45,15387.08,2590.34,2302.52,6587.53,23766.47,2299.30,3559.52,3397.91,32310.69,16507.23
