Fragment.ID,Sample.ID,Time,Weight.mg,Species,Treatment
R8,Bleached_Hot_Day0_1,Day0,17.82,Porites,Bleached_Hot
R19,Bleached_Hot_Day0_2,Day0,20.58,Porites,Bleached_Hot
R20,Bleached_Hot_Day0_3,Day0,34.65,Porites,Bleached_Hot
R29,Bleached_Hot_Day0_4,Day0,36.79,Porites,Bleached_Hot
R37,Bleached_Hot_Day0_5,Day0,26.78,Porites,Bleached_Hot
R7,Control_Ambient_Day0_1,Day0,28.42,Porites,Control_Ambient
R17,Control_Ambient_Day0_2,Day0,26.75,Porites,Control_Ambient
R23,Control_Ambient_Day0_3,Day0,31,Porites,Control_Ambient
R32,Control_Ambient_Day0_4,Day0,26.13,Porites,Control_Ambient
R40,Control_Ambient_Day0_5,Day0,24.83,Porites,Control_Ambient
R11,Mortality_Hot_Day0_1,Day0,23.07,Porites,Mortality_Hot
R26,Mortality_Hot_Day0_2,Day0,24.3,Porites,Mortality_Hot
R28,Mortality_Hot_Day0_3,Day0,25.09,Porites,Mortality_Hot
R35,Mortality_Hot_Day0_4,Day0,48.38,Porites,Mortality_Hot
R36,Mortality_Hot_Day0_5,Day0,25.87,Porites,Mortality_Hot
R8,Bleached_Hot_Day37_1,Day37,23.54,Porites,Bleached_Hot
R19,Bleached_Hot_Day37_2,Day37,25.77,Porites,Bleached_Hot
R20,Bleached_Hot_Day37_3,Day37,27.65,Porites,Bleached_Hot
R29,Bleached_Hot_Day37_4,Day37,45.3,Porites,Bleached_Hot
R37,Bleached_Hot_Day37_5,Day37,24.28,Porites,Bleached_Hot
R7,Control_Ambient_Day37_1,Day37,41.68,Porites,Control_Ambient
R17,Control_Ambient_Day37_2,Day37,28.05,Porites,Control_Ambient
R23,Control_Ambient_Day37_3,Day37,26.69,Porites,Control_Ambient
R32,Control_Ambient_Day37_4,Day37,18.61,Porites,Control_Ambient
R40,Control_Ambient_Day37_5,Day37,25.96,Porites,Control_Ambient
R11,Mortality_Hot_Day37_1,Day37,32.92,Porites,Mortality_Hot
R26,Mortality_Hot_Day37_2,Day37,22.87,Porites,Mortality_Hot
R28,Mortality_Hot_Day37_3,Day37,25.64,Porites,Mortality_Hot
R35,Mortality_Hot_Day37_4,Day37,24.95,Porites,Mortality_Hot
R36,Mortality_Hot_Day37_5,Day37,44.18,Porites,Mortality_Hot
R8,Bleached_Hot_Day52_1,Day52,27.34,Porites,Bleached_Hot
R19,Bleached_Hot_Day52_2,Day52,20.86,Porites,Bleached_Hot
R20,Bleached_Hot_Day52_3,Day52,29.25,Porites,Bleached_Hot
R29,Bleached_Hot_Day52_4,Day52,18.06,Porites,Bleached_Hot
R37,Bleached_Hot_Day52_5,Day52,22.43,Porites,Bleached_Hot
R7,Control_Ambient_Day52_1,Day52,25.81,Porites,Control_Ambient
R17,Control_Ambient_Day52_2,Day52,28.3,Porites,Control_Ambient
R23,Control_Ambient_Day52_3,Day52,38.05,Porites,Control_Ambient
R32,Control_Ambient_Day52_4,Day52,26.47,Porites,Control_Ambient
R40,Control_Ambient_Day52_5,Day52,24.87,Porites,Control_Ambient
R11,Mortality_Hot_Day52_1,Day52,24.73,Porites,Mortality_Hot
R26,Mortality_Hot_Day52_2,Day52,26.95,Porites,Mortality_Hot
R28,Mortality_Hot_Day52_3,Day52,25.56,Porites,Mortality_Hot
R35,Mortality_Hot_Day52_4,Day52,33.15,Porites,Mortality_Hot
R36,Mortality_Hot_Day52_5,Day52,22.74,Porites,Mortality_Hot
