label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Bleached_Hot_Day0_1,Bleached_Hot_Day0_2,Bleached_Hot_Day0_3,Bleached_Hot_Day0_4,Bleached_Hot_Day0_5,Bleached_Hot_Day37_1,Bleached_Hot_Day37_2,Bleached_Hot_Day37_3,Bleached_Hot_Day37_4,Bleached_Hot_Day37_5,Bleached_Hot_Day52_1,Bleached_Hot_Day52_2,Bleached_Hot_Day52_3,Bleached_Hot_Day52_4,Bleached_Hot_Day52_5,Control_Ambient_Day0_1,Control_Ambient_Day0_2,Control_Ambient_Day0_3,Control_Ambient_Day0_4,Control_Ambient_Day0_5,Control_Ambient_Day37_1,Control_Ambient_Day37_2,Control_Ambient_Day37_3,Control_Ambient_Day37_4,Control_Ambient_Day37_5,Control_Ambient_Day52_1,Control_Ambient_Day52_2,Control_Ambient_Day52_3,Control_Ambient_Day52_4,Control_Ambient_Day52_5,Mortality_Hot_Day0_1,Mortality_Hot_Day0_2,Mortality_Hot_Day0_3,Mortality_Hot_Day0_4,Mortality_Hot_Day0_5,Mortality_Hot_Day37_1,Mortality_Hot_Day37_2,Mortality_Hot_Day37_3,Mortality_Hot_Day37_4,Mortality_Hot_Day37_5,Mortality_Hot_Day52_1,Mortality_Hot_Day52_2,Mortality_Hot_Day52_3,Mortality_Hot_Day52_4,Mortality_Hot_Day52_5
,34,34,47,117.019409,8.287,0.835131,[M-H]-,,Succinate,Succinate,C4H6O4,0.483,0.651977,117.019409,650316.44,485517.59,189050.45,1283992.88,1305464.38,2170721.75,2027944.5,1285448.88,1336244,1078346.62,1357863.5,3158708.75,1501239.88,1574086,1375046.88,1372628.88,1284772.25,2357401.25,1085153.5,2551784.25,1996575,2387863,1455052,1714516.38,1411161.38,4969175.5,987724.56,1456943,2654357.75,1153738.25,6704548,3098401.25,2173245.25,1239602.88,4578616.5,1233361,3335845.75,3306615,3000156,2747397,1517813.12,2420974,2335844.75,1288561.88,1302214.62,2265327.75,2283752.25,1865804.38
,35,35,6,188.056564,8.198,0.814505,[M-H]-,,N-acetyl-glutamate,N-acetyl-glutamate,C7H11NO5,0.512,0.649115,188.056564,0,0,0,6901.44,0,12620.42,36768.59,7129.02,3130.83,3121.38,2743.45,7342.47,4749.99,7031.46,0,0,0,3094.64,13470.86,3366.52,10827.49,14312.73,13524.79,3655.96,6915.43,9441.4,9897.39,5153.82,7385.56,6038.52,7699.92,5779.79,3146.39,34615.02,32691.69,15504.09,30361.55,4462.25,11801.91,10717.45,0,5137.92,6232.92,3841.06,6148.81,28291.27,4488.62,0
,36,36,41,179.056152,8.229,0.850677,[M-H]-,,Inositol,Inositol,C6H12O6,0.461,0.255654,179.056152,0,0,0,322121.5,555534.31,545468,523394.75,567774,1101608.12,511154.66,1020937.69,1472284,562868.31,999733.31,415248.03,905683.94,656803.56,351101.09,632994.75,612974.06,826473.94,874358,446500.25,776168.69,764498.25,620406,436492.22,665019.94,904889.25,761345,818042.94,618662.31,625649.12,611778.19,671361.19,439912.16,527008.25,404226.28,701590,844323.19,503632.22,594349,833154.31,539223.62,575507.81,734515.44,708785.75,492165.66
,37,37,45,341.10907,7.882,0.852775,[M-H]-,,Cellobiose,Cellobiose,C12H22O11,0.678,0.357863,341.10907,0,2340.38,0,144787.2,366018.12,509393.09,140777.36,105454.04,81862.77,24018.05,79390.28,215315.23,176791.64,128984.62,67625.34,84373.66,189620.88,57613.71,174848.73,142733.89,269338,224500.36,76465.09,96207.84,50225.81,229649.19,634327.25,73833.49,85280.63,111240.65,154680.25,40513.55,90829.94,664841.5,137213.38,321302.22,192254.86,98448.27,160365.41,364006.34,154472.83,48731.96,73530.74,294061.41,186593.5,338178.25,487787.47,96188.71
,38,38,24,316.116394,7.748,0.835074,[M-H]-,,Glycerophosphocholine (+HAc),Glycerophosphocholine (+HAc),C10H24NO8P,0.732,0.868851,316.116394,0,0,0,31479.08,28373.21,46230.53,47141.52,121355.48,23477.42,8237.4,18882.41,46004.41,22928.19,7701.18,8857.68,27347.79,30017.58,12284.08,76608.38,36106.21,64623.81,115889.25,55756.83,35284.09,25032.27,39187.57,58018.76,50094.58,48626.58,21028.96,89904.38,16023.64,28212.35,37488.54,50294.68,78658.66,47496.18,44711.55,42042.02,44378.14,26698.08,42611.38,41992.5,27595.17,37968.64,31483.04,49298.7,19086.16
,39,39,44,129.01947,7.847,0.840014,[M-H]-,,Itaconic acid,Itaconic acid,C5H6O4,0.523,1.064407,129.01947,76389.96,52480.89,76993.27,5121313.5,7389246,6976922.5,6880940.5,7638264,9545876,6014962,9800487,8411242,4631233.5,12996929,8362722.5,9182472,9535708,7041929.5,1374408.12,8579207,6599544,8141486.5,6348238.5,1700471.38,8428885,5508070.5,2831642.25,10015400,2572602.75,6827482,6453098.5,5314287,6566520,4665894,5746224,4505948,4128591.75,5347759.5,5019859.5,5236692.5,3913776.75,4719926.5,9416097,3948802.75,6631326.5,4524147,8953591,7649824
,40,40,27,145.014023,7.36,0.838736,[M-H]-,,a-ketoglutarate,a-ketoglutarate,C5H6O5,0.63,1.57834,145.014023,0,0,0,146807.39,104366.41,44999.66,130216.93,75788.76,70481.42,4753.72,63362.14,35260.36,123092.56,129710.34,95565.5,63654.58,3691.82,5184.48,260746.92,21186.79,166389.98,316361.5,55377.08,283003.34,3516.42,25876.29,119118.98,146672.55,326719.66,91273.06,123056,42994.34,78135.43,135196.14,63123.36,235350.12,30588.13,30538.6,5614.97,61460.61,53281.74,42202.22,80953.87,25501.29,240186.67,955861.06,49739.23,6186.48
,41,41,45,131.046249,7.343,0.856036,[M-H]-,,Asparagine,Asparagine,C4H8N2O3,0.537,0.232876,131.046249,0,0,0,177142.08,184494.25,1357557,481304.12,174534.52,808910.31,104553.31,190387.94,548013.94,527802.88,633256.56,354651.34,453255.34,279172.28,168032.19,607798.56,105862,608503.19,2879425,126936.12,675557.44,161579.72,101768.21,355887.09,120257.06,322083.66,243215.52,265184.88,145247.8,127116.84,377125.38,1126822.25,915324.19,740534,125995.59,1891628.62,1847947.38,323777.22,585533.31,586127.19,979199.31,1700523.38,1053593.62,1559771.62,585422.75
,42,42,37,188.104172,7.333,0.851405,[M-H]-,,Homocitrulline,Homocitrulline,C7H15N3O3,0.547,0.567832,188.104172,0,0,0,28190.47,4977.38,66417.85,73053.49,54041.28,43661.45,12957.74,50952,52152.15,40314.9,49140.29,20872.1,37871.16,58594.24,53818.36,3980.93,4451.75,23437.92,41466.72,35138.45,15021.16,4840.12,13863.78,8712.72,35616.82,4955.68,3182.1,35030.61,19203.75,31354.3,4766.08,30933.34,64297.73,28923.48,55830.61,12850.62,34340.44,58335.52,29170.42,97811.65,6628.02,49098.05,52194.9,96940.68,66453.25
,43,43,46,104.035439,7.332,0.854428,[M-H]-,,Serine,Serine,C3H7NO3,0.488,1.173355,104.035439,2895.59,2206.2,3056.69,349631,310484.16,513838.97,353969.25,252883.3,758157.31,225743.69,329722.28,588069.75,275697.34,613966.19,247713.58,425606.28,638537.56,135057.22,1651486.62,329977.62,400787.41,1479217.38,222276.5,1231802.88,283725.75,262530.38,222596.92,275480.34,684594.69,218968.06,334585,291992.53,215578.55,437611.91,551618.44,866700.81,410796.16,233634.2,362525.59,556135,545510.19,298712.72,419670.97,317364.16,432111,326084.34,741370.19,260387.52
,44,44,31,102.056145,7.295,0.818906,[M-H]-,,gamma-amino butyrate,gamma-amino butyrate,C4H9NO2,0.525,0.897083,102.056145,14489.46,12486.66,16149.2,18758.18,23942.46,25699.34,37974.63,25797.19,63158.91,32682.25,56343.21,154295.67,30731.58,17859.24,21764.59,70410.43,15495.91,8409.41,46417.56,27953.06,61051.95,314920.16,38987.48,62207.23,19536.65,56575.07,101060.65,26188.52,23633.78,21881.16,18802.2,28893.21,26486.95,41399.61,61806.25,39405.98,43092.46,37925.24,134586.73,59677.71,19636.95,174479.64,43762.11,20381.89,57994.12,22069.16,81219.91,21047.11
,45,45,45,145.061798,7.159,0.855447,[M-H]-,,Glutamine,Glutamine,C5H10N2O3,0.581,0.420753,145.061798,0,0,0,1583236.12,2869483.25,3165848.75,1774998.5,1461318.38,4457883.5,2530004.25,2647088,7418838,3766600.25,8837112,1176256,2617154.75,5213156,582106.81,3374561.25,1967713.38,2883285.75,5155934.5,1755690.38,1800401,1216860.88,880257.56,2667225.75,848651.19,732896.5,697906.06,895404.56,633645.06,506615.34,2238873.25,4119964,7362290,2962300.25,1407934.62,2592837.25,5244110.5,2723510.5,2971176.75,3094495.25,2002417.62,3455660,2546518.25,4047070.75,1598569.5
