label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Bleached_Hot_Day0_1,Bleached_Hot_Day0_2,Bleached_Hot_Day0_3,Bleached_Hot_Day0_4,Bleached_Hot_Day0_5,Bleached_Hot_Day37_1,Bleached_Hot_Day37_2,Bleached_Hot_Day37_3,Bleached_Hot_Day37_4,Bleached_Hot_Day37_5,Bleached_Hot_Day52_1,Bleached_Hot_Day52_2,Bleached_Hot_Day52_3,Bleached_Hot_Day52_4,Bleached_Hot_Day52_5,Control_Ambient_Day0_1,Control_Ambient_Day0_2,Control_Ambient_Day0_3,Control_Ambient_Day0_4,Control_Ambient_Day0_5,Control_Ambient_Day37_1,Control_Ambient_Day37_2,Control_Ambient_Day37_3,Control_Ambient_Day37_4,Control_Ambient_Day37_5,Control_Ambient_Day52_1,Control_Ambient_Day52_2,Control_Ambient_Day52_3,Control_Ambient_Day52_4,Control_Ambient_Day52_5,Mortality_Hot_Day0_1,Mortality_Hot_Day0_2,Mortality_Hot_Day0_3,Mortality_Hot_Day0_4,Mortality_Hot_Day0_5,Mortality_Hot_Day37_1,Mortality_Hot_Day37_2,Mortality_Hot_Day37_3,Mortality_Hot_Day37_4,Mortality_Hot_Day37_5,Mortality_Hot_Day52_1,Mortality_Hot_Day52_2,Mortality_Hot_Day52_3,Mortality_Hot_Day52_4,Mortality_Hot_Day52_5
,106,106,43,252.143539,7.681,0.856254,[M+H]+,,Feature 54,Feature 54,,0.015,2.118065,252.143539,12456.55,15754.34,7713.93,444174.09,476257.84,781316,680166.94,563381.31,6820798.5,2669605.25,5484428,9036992,4035999.25,3152166.75,1848926.62,4147373.75,2500154.25,1987288,574610.06,768893.31,1051166.62,2478208,595824.56,2029300.38,831329.94,1152146.62,2384945.75,707621.06,1887548.38,675690.38,715080.75,1740006.38,774169.19,875410.31,715376,454612.25,593319.44,525858.5,3908631.25,1783456.62,1546558.62,4975952.5,3968350.75,1345324.62,1894575,1155924.5,5037735.5,1294313.62
,85,85,40,255.096878,6.195,0.855756,[M+H]+,,Feature 55,Feature 55,,0.067,2.033728,255.096878,0,0,0,349163.25,140650.44,722218.31,998272.5,652861.44,54276.78,163378.97,1194750.38,993088.56,93064.91,79178.66,55111.64,65318.75,18228.64,26544.83,486687.59,339370.5,510985.62,335092.72,505039.91,522078.59,267093.38,346775.09,193637.69,918037.31,225860.19,120330.68,302690.72,293548.12,575982.75,259906.45,328894.66,518609.88,291655.66,90752.06,34900.19,91807.93,48549.17,477318,43416.28,23345.56,134438.61,80808.98,132085.73,53497.2
,86,86,26,260.112305,2.134,0.853824,[M+H]+,,Feature 56,Feature 56,,0.014,1.994515,260.112305,0,0,0,107215.25,284879.16,2069931.38,1257667.5,265715.38,2559.23,3305.1,76472.26,49154.26,0,2768.38,0,0,0,0,278220.66,576869.56,316921.16,75619.78,251264.06,17134.96,1033576.5,702562.56,2997.08,381463.75,479820.5,367312.59,802412,306829.12,392589.75,487692.88,524181.5,263281.38,216062.64,295648.03,2112.7,0,0,0,0,0,2213.14,0,0,2264.44
,87,87,44,260.207458,4.888,0.857858,[M+H]+,,Feature 57,Feature 57,,0.021,2.228348,260.207458,0,0,0,193472.33,362529.5,442918.91,250391.36,466255.41,3172384,7117548,3420241.25,3094901,7541972.5,6781594.5,3221064.25,6491831.5,2840025.25,6243944,630246.19,452580.62,482130.38,1870940.62,1156629.62,7240.97,515308.28,528679.5,2320319.25,343247.72,439794.09,170254.09,312595.03,2554299.25,333482.91,393174.16,589359.31,491456.78,428962.91,1493022.62,6851257.5,6602603.5,5672440,6410178,7396099.5,4225216.5,6595467.5,6185193.5,10175931,10802540
,88,88,44,261.191284,4.764,0.856905,[M+H]+,,Feature 58,Feature 58,,0.026,2.570472,261.191284,0,0,0,681339.44,552784.75,1095861.38,514847.09,956603.31,6859401.5,16971046,7247860,5810406.5,22348358,15001155,6511961.5,13522293,5663825.5,15180649,1281065.88,1093645.62,757942.5,3517828,2787239.25,7798.13,409797.5,1137853.12,9279889,718686.44,928303.25,356876.59,790362.75,6547366.5,728643.44,1154584.12,1214877.38,1305917,1275942.38,4461937,17656198,13463696,15614987,15570784,15295496,16813012,13892607,19051806,18542818,26895902
,118,118,23,265.02594,10.39,0.845687,[M+H]+,,Feature 59,Feature 59,,0.167,0.230299,265.02594,1902,1494.17,0,2692.12,15696.59,2360.54,2429.96,2362.61,38626.77,29375.31,22216.38,35972.57,50419.63,708182.69,14101.57,303661.53,46554.79,7974.92,2573.93,2069.22,3805.04,2118.3,2674.32,53409.08,0,2274.06,8595.79,2514.67,2440.08,2445.61,2372.95,13110.86,2295.26,0,1934.99,2226.81,1944.03,0,69174.34,44391.71,33666.07,22800.43,221866.02,32320.11,287824.72,68040.1,377244.16,192343.52
,72,72,32,119.052612,7.064,0.856679,[M+H]+,,Feature 6,Feature 6,,0.185,4.421792,119.052612,2722.4,0,7407.26,13174.11,111939.82,18367.22,12480.2,19077.78,719890.31,3215031.25,20443.17,4385800.5,2056453.5,19277888,395120.25,264077.97,2800140,807401.06,21664.28,10306.28,193765.88,50809.3,14263.09,67258.87,134489.02,135778.48,3031418.25,121811.96,143848.77,44099.22,59522.29,28642.19,55337.84,6961.25,16278.85,14907.58,24876.07,23544.9,420752.88,2689118.75,1845626.5,3572782.75,2686140.25,1300138.12,9285815,9142529,432700.66,1398456
,89,89,42,269.087158,6.344,0.857412,[M+H]+,,Feature 60,Feature 60,,0.158,1.134114,269.087158,0,0,0,2175243.75,1493527,712319,887032,1049863.5,195542,111177.59,491454.66,358816.59,185823.02,38340.91,27012.13,25770.7,14465.97,12374.11,1181461.38,1737410.38,1513091,1573951.62,1623662.62,445320.25,465912.16,868407.31,336048.62,1825376,420321.59,416079.47,907095,1354687.12,957998.5,1524864.12,1166659.5,674983,917634.44,770755.19,6234,44944.83,24823.77,230609.2,14477.97,15726.44,68623.27,52179.33,9192.82,15486.69
,90,90,43,272.207275,4.89,0.854525,[M+H]+,,Feature 61,Feature 61,,0.029,2.466448,272.207275,0,0,0,502828.25,438283.53,601791.5,439782.38,942792.19,8190115.5,10785964,6031798,6104221.5,13337505,10471325,4640332,9135085,4611314.5,8886786,1201678.62,831673.56,578056,2491642,1746538.12,13905.56,1132268.88,803400.06,2542545,474567.91,725259.19,298884.53,381534.59,3024724,530399.88,741765.19,737952.44,796641.75,648842.25,2095877.38,9168873,7375279.5,8323606.5,8612424,9838547,4881368,8840721,7791190.5,12875372,11474623
,91,91,36,273.210419,4.87,0.856214,[M+H]+,,Feature 62,Feature 62,,0.024,2.680791,273.210419,0,0,0,53041.59,16046.49,48981.77,18058.56,77209.97,958308.5,1275382,641634.38,670795.19,1560602.62,1224140.38,490068.5,1040883.06,357643.78,1008379.19,69500.27,105886.2,15041.27,330398.41,154185.42,0,112403.16,52116.18,275985.62,19989.96,32782.17,38940.74,25138.85,338402.88,18782.95,53300.68,44983.06,89851.46,23042.38,223847.12,1146582,830516.56,945106.31,901258.06,1174536.5,526163.25,997148,973499.94,1444950.5,1210967.88
