"","Metabolite","VIP"
"1","Acetyl proline",2.18097345581811
"2","Homoarginine",2.08810052744475
"3","Arginine",2.05570990944751
"5","Ornithine",1.9956927282983
"6","NG-dimethyl-L-arginine",1.95971310396547
"9","Lysine",1.89308500680871
"10","NAD+",1.86833583877816
"12","2-Aminoethylphosphonate",1.84065028503229
"13","Glycine",1.77085297380836
