Vial,Fragment.ID,Timepoint,Vial.input.Volume.uL,Centrifuge,PBS.Vol.uL,Vial.final.vol.uL,Type,Metric_code,Tube_Box,FalconTube_Code
180,R7,A2,1000,Yes,NA,1000,Holobiont,C,,
181,R23,A2,1000,Yes,NA,1000,Coral,A-H,,
182,R23,A2,1000,Yes,1000,800,Symbiont,A-S-1,,
183,R23,A2,1000,Yes,1000,200,Symbiont,A-S-2,,
184,R23,A2,1000,Yes,NA,1000,Coral,B-H,,
185,R23,A2,1000,Yes,NA,pellet,Symbiont,B-S,,
186,R23,A2,1000,Yes,NA,1000,Holobiont,C,,
187,R17,A4,1000,Yes,NA,1000,Coral,A-H,,
188,R17,A4,1000,Yes,1000,800,Symbiont,A-S-1,,
189,R17,A4,1000,Yes,1000,200,Symbiont,A-S-2,,
190,R17,A4,1000,Yes,NA,1000,Coral,B-H,,
191,R17,A4,1000,Yes,NA,pellet,Symbiont,B-S,,
192,R17,A4,1000,Yes,NA,1000,Holobiont,C,,
193,R7,A1,1000,Yes,NA,1000,Coral,A-H,,
194,R7,A1,1000,Yes,1000,800,Symbiont,A-S-1,,
195,R7,A1,1000,Yes,1000,200,Symbiont,A-S-2,,
196,R7,A1,1000,Yes,NA,1000,Coral,B-H,,
197,R7,A1,1000,Yes,NA,pellet,Symbiont,B-S,,
198,R7,A1,1000,Yes,NA,1000,Holobiont,C,,
199,R29,A4,1000,Yes,NA,1000,Coral,A-H,,
200,R29,A4,1000,Yes,1000,800,Symbiont,A-S-1,,
201,R29,A4,1000,Yes,1000,200,Symbiont,A-S-2,,
202,R29,A4,1000,Yes,NA,1000,Coral,B-H,,
203,R29,A4,1000,Yes,NA,pellet,Symbiont,B-S,,
204,R29,A4,1000,Yes,NA,1000,Holobiont,C,,
205,R8,A4,1000,Yes,NA,1000,Coral,A-H,,
206,R8,A4,1000,Yes,1000,800,Symbiont,A-S-1,,
207,R8,A4,1000,Yes,1000,200,Symbiont,A-S-2,,
208,R8,A4,1000,Yes,NA,1000,Coral,B-H,,
209,R8,A4,1000,Yes,NA,pellet,Symbiont,B-S,,
210,R8,A4,1000,Yes,NA,1000,Holobiont,C,,
211,R26,A4,1000,Yes,NA,1000,Coral,A-H,,
212,R26,A4,1000,Yes,1000,800,Symbiont,A-S-1,,
213,R26,A4,1000,Yes,1000,200,Symbiont,A-S-2,,
214,R26,A4,1000,Yes,NA,1000,Coral,B-H,,
215,R26,A4,1000,Yes,NA,pellet,Symbiont,B-S,,
216,R26,A4,1000,Yes,NA,1000,Holobiont,C,,
217,R11,A4,1000,Yes,NA,1000,Coral,A-H,,
218,R11,A4,1000,Yes,1000,800,Symbiont,A-S-1,,
219,R11,A4,1000,Yes,1000,200,Symbiont,A-S-2,,
220,R11,A4,1000,Yes,NA,1000,Coral,B-H,,
221,R11,A4,1000,Yes,NA,pellet,Symbiont,B-S,,
222,R11,A4,1000,Yes,NA,1000,Holobiont,C,,
223,R8,A1,1000,Yes,NA,1000,Coral,A-H,,
224,R8,A1,1000,Yes,1000,800,Symbiont,A-S-1,,
225,R8,A1,1000,Yes,1000,200,Symbiont,A-S-2,,
226,R8,A1,1000,Yes,NA,1000,Coral,B-H,,
227,R8,A1,1000,Yes,NA,pellet,Symbiont,B-S,,
228,R8,A1,1000,Yes,NA,1000,Holobiont,C,,
229,R23,A4,1000,Yes,NA,1000,Coral,A-H,,
230,R23,A4,1000,Yes,1000,800,Symbiont,A-S-1,,
231,R23,A4,1000,Yes,1000,200,Symbiont,A-S-2,,
232,R23,A4,1000,Yes,NA,1000,Coral,B-H,,
233,R23,A4,1000,Yes,NA,pellet,Symbiont,B-S,,
234,R23,A4,1000,Yes,NA,1000,Holobiont,C,,
235,R20,A4,1000,Yes,NA,1000,Coral,A-H,,
236,R20,A4,1000,Yes,1000,800,Symbiont,A-S-1,,
237,R20,A4,1000,Yes,1000,200,Symbiont,A-S-2,,
238,R20,A4,1000,Yes,NA,1000,Coral,B-H,,
239,R20,A4,1000,Yes,NA,pellet,Symbiont,B-S,,
240,R20,A4,1000,Yes,NA,1000,Holobiont,C,,
241,R40,A1,1000,Yes,NA,1000,Coral,A-H,,
242,R40,A1,1000,Yes,1000,800,Symbiont,A-S-1,,
243,R40,A1,1000,Yes,1000,200,Symbiont,A-S-2,,
244,R40,A1,1000,Yes,NA,1000,Coral,B-H,,
245,R40,A1,1000,Yes,NA,pellet,Symbiont,B-S,,
246,R40,A1,1000,Yes,NA,1000,Holobiont,C,,
247,R17,A2,1000,Yes,NA,1000,Coral,A-H,,
248,R17,A2,1000,Yes,1000,800,Symbiont,A-S-1,,
249,R17,A2,1000,Yes,1000,200,Symbiont,A-S-2,,
250,R17,A2,1000,Yes,NA,1000,Coral,B-H,,
251,R17,A2,1000,Yes,NA,pellet,Symbiont,B-S,,
252,R17,A2,1000,Yes,NA,1000,Holobiont,C,,
253,R40,A4,1000,Yes,NA,1000,Coral,A-H,,
254,R40,A4,1000,Yes,1000,800,Symbiont,A-S-1,,
255,R40,A4,1000,Yes,1000,200,Symbiont,A-S-2,,
256,R40,A4,1000,Yes,NA,1000,Coral,B-H,,
257,R40,A4,1000,Yes,NA,pellet,Symbiont,B-S,,
258,R40,A4,1000,Yes,NA,1000,Holobiont,C,,
259,R32,A1,1000,Yes,NA,1000,Coral,A-H,,
260,R32,A1,1000,Yes,1000,800,Symbiont,A-S-1,,
261,R32,A1,1000,Yes,1000,200,Symbiont,A-S-2,,
262,R32,A1,1000,Yes,NA,1000,Coral,B-H,,
263,R32,A1,1000,Yes,NA,pellet,Symbiont,B-S,,
264,R32,A1,1000,Yes,NA,1000,Holobiont,C,,
265,R23,A1,1000,Yes,NA,1000,Coral,A-H,,
266,R23,A1,1000,Yes,1000,800,Symbiont,A-S-1,,
267,R23,A1,1000,Yes,1000,200,Symbiont,A-S-2,,
268,R23,A1,1000,Yes,NA,1000,Coral,B-H,,
269,R23,A1,1000,Yes,NA,pellet,Symbiont,B-S,,
270,R23,A1,1000,Yes,NA,1000,Holobiont,C,,
