"","Metabolite","colors"
"216","Inosine","grey"
"217","Inositol","grey"
"218","Isocitrate","grey"
"219","Isoleucine","yellow"
"220","Itaconic acid","grey"
"221","L-Octanoylcarnitine","grey"
"222","L-Palmitoylcarnitine","turquoise"
"223","Lactate","grey"
"224","Leucic acid","grey"
"225","Leucine","yellow"
"226","Levulinic Acid","grey"
"227","Lysine","blue"
"228","Lysine-Glutamine","grey"
"229","Malate","brown"
"230","Mandelic acid","grey"
"231","Mannose-6-phosphate","grey"
"232","Methionine","yellow"
"233","Methionine sulfoxide","grey"
"234","Methyloxovaleric acid (Ketoleucine)","grey"
"235","Methylphenyllactate","grey"
"236","N N N-Trimethyllysine","grey"
"237","N-acetyl-glutamate","grey"
"238","N-acetyl-glutamine","turquoise"
"239","N-Acetyl-L-alanine","grey"
"240","N-acetyl-L-ornithine","blue"
"241","NAD+","grey"
"242","NAD+ ","grey"
"243","NADH ","grey"
"244","NADP+ ","grey"
"245","NADPH ","blue"
"246","NG-dimethyl-L-arginine","blue"
"247","Nicotinamide riboside","turquoise"
"248","Nicotinate","turquoise"
"249","o-acetyl-L-serine","turquoise"
"250","O-Acylcarnitine","grey"
"251","O-Butanoylcarnitine","grey"
"252","O-Decanoyl-L-carnitine","turquoise"
"253","O-Phosphorylethanolamine","blue"
"254","O-Propanoylcarnitine","grey"
"255","Ornithine","blue"
"256","Pantothenate","grey"
"257","Phenylalanine","yellow"
"258","Phenylpropanolamine","blue"
"259","Phosphocholine","blue"
"260","Phosphocholine ","blue"
"261","Proline","grey"
"262","Purine","grey"
"263","Pyroglutamate","grey"
"264","Pyrroline-5-carboxylic acid","grey"
"265","Pyruvate","grey"
"266","Raffinose","brown"
"267","Ribitol","grey"
"268","Ribose phosphate","grey"
"269","S-adenosyl-L-methionine","grey"
"270","Serine","grey"
"271","Sorbitol","grey"
"272","Spermine","grey"
"273","Stearic acid","grey"
"274","Succinate","grey"
"275","Sucrose","brown"
"276","Taurine","turquoise"
"277","Thiamine","grey"
"278","Threonic acid","grey"
"279","Threonine","grey"
"280","Thymidine","grey"
"281","Tridecanoic acid","grey"
"282","Trigonelline","grey"
"283","Tryptamine","grey"
"284","Tryptophan","grey"
"285","Tyramine","grey"
"286","Tyrosine","grey"
"287","UDP-D-Glucose","grey"
"288","UDP-N-acetyl-glucosamine","blue"
"289","UMP","blue"
"290","Uracil","grey"
"291","Uric acid","blue"
"292","Uridine","grey"
"293","Valine","yellow"
"294","Xanthine","grey"
"295","Xanthosine-5-phosphate","blue"
