"Plot Title: #6 Mesocosm"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10344489, SEN S/N: 10344489, LBL: C)","Coupler Detached (LGR S/N: 10344489)","Coupler Attached (LGR S/N: 10344489)","Host Connected (LGR S/N: 10344489)","Stopped (LGR S/N: 10344489)","End Of File (LGR S/N: 10344489)"
47,07/10/19 02:30:00  AM,27.161,,,,,
48,07/10/19 02:45:00  AM,27.087,,,,,
49,07/10/19 03:00:00  AM,27.014,,,,,
50,07/10/19 03:15:00  AM,26.965,,,,,
51,07/10/19 03:30:00  AM,26.916,,,,,
52,07/10/19 03:45:00  AM,26.916,,,,,
53,07/10/19 04:00:00  AM,26.867,,,,,
54,07/10/19 04:15:00  AM,26.842,,,,,
55,07/10/19 04:30:00  AM,26.842,,,,,
56,07/10/19 04:45:00  AM,26.818,,,,,
57,07/10/19 05:00:00  AM,26.793,,,,,
58,07/10/19 05:15:00  AM,26.793,,,,,
59,07/10/19 05:30:00  AM,26.793,,,,,
60,07/10/19 05:45:00  AM,26.769,,,,,
61,07/10/19 06:00:00  AM,26.769,,,,,
62,07/10/19 06:15:00  AM,26.744,,,,,
63,07/10/19 06:30:00  AM,26.744,,,,,
64,07/10/19 06:45:00  AM,26.769,,,,,
65,07/10/19 07:00:00  AM,26.793,,,,,
66,07/10/19 07:15:00  AM,26.818,,,,,
67,07/10/19 07:30:00  AM,26.818,,,,,
68,07/10/19 07:45:00  AM,26.867,,,,,
69,07/10/19 08:00:00  AM,26.891,,,,,
70,07/10/19 08:15:00  AM,26.989,,,,,
71,07/10/19 08:30:00  AM,26.965,,,,,
72,07/10/19 08:45:00  AM,26.916,,,,,
73,07/10/19 09:00:00  AM,26.940,,,,,
74,07/10/19 09:15:00  AM,26.989,,,,,
75,07/10/19 09:30:00  AM,27.210,,,,,
76,07/10/19 09:45:00  AM,27.333,,,,,
77,07/10/19 10:00:00  AM,27.382,,,,,
78,07/10/19 10:15:00  AM,27.456,,,,,
79,07/10/19 10:30:00  AM,27.554,,,,,
80,07/10/19 10:45:00  AM,27.776,,,,,
81,07/10/19 11:00:00  AM,28.023,,,,,
82,07/10/19 11:15:00  AM,28.642,,,,,
83,07/10/19 11:30:00  AM,29.265,,,,,
84,07/10/19 11:45:00  AM,29.815,,,,,
85,07/10/19 12:00:00  PM,30.469,,,,,
86,07/10/19 12:15:00  PM,30.167,,,,,
87,07/10/19 12:30:00  PM,30.091,,,,,
88,07/10/19 12:45:00  PM,29.916,,,,,
89,07/10/19 01:00:00  PM,29.740,,,,,
90,07/10/19 01:15:00  PM,29.565,,,,,
91,07/10/19 01:30:00  PM,29.389,,,,,
92,07/10/19 01:45:00  PM,29.290,,,,,
93,07/10/19 02:00:00  PM,29.215,,,,,
