"Plot Title: #5 Mesocosm"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10579595, SEN S/N: 10579595, LBL: Celsius)","Coupler Detached (LGR S/N: 10579595)","Coupler Attached (LGR S/N: 10579595)","Host Connected (LGR S/N: 10579595)","Stopped (LGR S/N: 10579595)","End Of File (LGR S/N: 10579595)"
130,07/10/19 11:15:00  PM,27.358,,,,,
131,07/10/19 11:30:00  PM,27.333,,,,,
132,07/10/19 11:45:00  PM,27.284,,,,,
133,07/11/19 12:00:00  AM,27.259,,,,,
134,07/11/19 12:15:00  AM,27.210,,,,,
135,07/11/19 12:30:00  AM,27.161,,,,,
136,07/11/19 12:45:00  AM,27.136,,,,,
137,07/11/19 01:00:00  AM,27.112,,,,,
138,07/11/19 01:15:00  AM,27.087,,,,,
139,07/11/19 01:30:00  AM,27.038,,,,,
140,07/11/19 01:45:00  AM,27.014,,,,,
141,07/11/19 02:00:00  AM,26.989,,,,,
142,07/11/19 02:15:00  AM,26.965,,,,,
143,07/11/19 02:30:00  AM,26.940,,,,,
144,07/11/19 02:45:00  AM,26.916,,,,,
145,07/11/19 03:00:00  AM,26.916,,,,,
146,07/11/19 03:15:00  AM,26.891,,,,,
147,07/11/19 03:30:00  AM,26.867,,,,,
148,07/11/19 03:45:00  AM,26.867,,,,,
149,07/11/19 04:00:00  AM,26.842,,,,,
150,07/11/19 04:15:00  AM,26.818,,,,,
151,07/11/19 04:30:00  AM,26.769,,,,,
152,07/11/19 04:45:00  AM,26.744,,,,,
153,07/11/19 05:00:00  AM,26.720,,,,,
154,07/11/19 05:15:00  AM,26.671,,,,,
155,07/11/19 05:30:00  AM,26.646,,,,,
156,07/11/19 05:45:00  AM,26.598,,,,,
157,07/11/19 06:00:00  AM,26.549,,,,,
158,07/11/19 06:15:00  AM,26.500,,,,,
159,07/11/19 06:30:00  AM,26.475,,,,,
160,07/11/19 06:45:00  AM,26.451,,,,,
161,07/11/19 07:00:00  AM,26.426,,,,,
162,07/11/19 07:15:00  AM,26.402,,,,,
163,07/11/19 07:30:00  AM,26.426,,,,,
164,07/11/19 07:45:00  AM,26.451,,,,,
165,07/11/19 08:00:00  AM,26.500,,,,,
166,07/11/19 08:15:00  AM,26.524,,,,,
167,07/11/19 08:30:00  AM,26.622,,,,,
168,07/11/19 08:45:00  AM,26.940,,,,,
169,07/11/19 09:00:00  AM,27.136,,,,,
170,07/11/19 09:15:00  AM,27.382,,,,,
171,07/11/19 09:30:00  AM,27.505,,,,,
172,07/11/19 09:45:00  AM,27.579,,,,,
173,07/11/19 10:00:00  AM,27.604,,,,,
174,07/11/19 10:15:00  AM,27.628,,,,,
175,07/11/19 10:30:00  AM,27.653,,,,,
176,07/11/19 10:45:00  AM,27.727,,,,,
177,07/11/19 11:00:00  AM,27.751,,,,,
178,07/11/19 11:15:00  AM,27.801,,,,,
179,07/11/19 11:30:00  AM,27.875,,,,,
180,07/11/19 11:45:00  AM,27.998,,,,,
181,07/11/19 12:00:00  PM,28.023,,,,,
182,07/11/19 12:15:00  PM,28.147,,,,,
183,07/11/19 12:30:00  PM,28.320,,,,,
