,,,,host_info if applicable,,,,,,sampling info if applicable,,,,Please place any additional columns you wish to add to the right of 'collection_depth'
sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date,collection_depth,life_stage
R17-A2,WSH027_S28_L001_R1_001.fastq.gz ,WSH027_S28_L001_R2_001.fastq.gz ,coral_field,cnidaria,anthozoa,scleractinia,poritidae,porites,astreoides,32.457222,-64.834722,2019-08-28,10 m,Adult
R37-A2,WSH028_S40_L001_R1_001.fastq.gz ,WSH028_S40_L001_R2_001.fastq.gz ,coral_field,cnidaria,anthozoa,scleractinia,poritidae,porites,astreoides,32.457222,-64.834722,2019-08-28,10 m,Adult
R32-A1,WSH029_S52_L001_R1_001.fastq.gz ,WSH029_S52_L001_R2_001.fastq.gz ,coral_field,cnidaria,anthozoa,scleractinia,poritidae,porites,astreoides,32.457222,-64.834722,2019-08-28,10 m,Adult
R36-A1,WSH030_S64_L001_R1_001.fastq.gz ,WSH030_S64_L001_R2_001.fastq.gz ,coral_field,cnidaria,anthozoa,scleractinia,poritidae,porites,astreoides,32.457222,-64.834722,2019-08-28,10 m,Adult
R7-A1,WSH031_S76_L001_R1_001.fastq.gz ,WSH031_S76_L001_R2_001.fastq.gz ,coral_field,cnidaria,anthozoa,scleractinia,poritidae,porites,astreoides,32.457222,-64.834722,2019-08-28,10 m,Adult
R26-A2,WSH032_S88_L001_R1_001.fastq.gz ,WSH032_S88_L001_R2_001.fastq.gz ,coral_field,cnidaria,anthozoa,scleractinia,poritidae,porites,astreoides,32.457222,-64.834722,2019-08-28,10 m,Adult
R8-A2,WSH033_S5_L001_R1_001.fastq.gz  ,WSH033_S5_L001_R2_001.fastq.gz  ,coral_field,cnidaria,anthozoa,scleractinia,poritidae,porites,astreoides,32.457222,-64.834722,2019-08-28,10 m,Adult
R36-A2,WSH034_S17_L001_R1_001.fastq.gz ,WSH034_S17_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,poritidae,porites,astreoides,32.457222,-64.834722,2019-08-28,10 m,Adult
R11-A4,WSH035_S29_L001_R1_001.fastq.gz,WSH035_S29_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,poritidae,porites,astreoides,32.457222,-64.834722,2019-08-28,10 m,Adult
R29-A4,WSH036_S41_L001_R1_001.fastq.gz,WSH036_S41_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,poritidae,porites,astreoides,32.457222,-64.834722,2019-08-28,10 m,Adult
