"","1 3-Dimethyluric acid","3-Phenylbutyric acid","4-Guanidinobutanoic acid","5-Hydroxytryptophan","5-Methoxytryptamine","5-Methylcytosine","a-ketoglutarate","Acetyl proline","Acetyl-arginine","Acetyllysine","Aconitate","Adenine","Adenosine","ADP","ADP-D-Glucose","Alanine","Arginine","Arginine-Alanine","Asparagine","Aspartate","Carbamoyl phosphate","Carnitine","CDP-Choline","Cholesteryl sulfate","CMP","Cystine","Deoxyguanosine","Dihydroorotate","Dihydroxybenzeneacetic acid","Feature 10","Feature 100","Feature 101","Feature 102","Feature 103","Feature 104","Feature 105","Feature 106","Feature 107","Feature 108","Feature 109","Feature 11","Feature 110","Feature 112","Feature 113","Feature 114","Feature 117","Feature 118","Feature 12","Feature 120","Feature 122","Feature 124","Feature 125","Feature 126","Feature 127","Feature 128","Feature 13","Feature 133","Feature 137","Feature 138","Feature 139","Feature 14","Feature 140","Feature 141","Feature 15","Feature 16","Feature 17","Feature 18","Feature 19","Feature 21","Feature 23","Feature 25","Feature 26","Feature 27","Feature 28","Feature 31","Feature 32","Feature 33","Feature 35","Feature 36","Feature 37","Feature 40","Feature 42","Feature 43","Feature 48","Feature 5","Feature 50","Feature 51","Feature 53","Feature 54","Feature 56","Feature 57","Feature 58","Feature 6","Feature 60","Feature 61","Feature 62","Feature 63","Feature 65","Feature 66","Feature 67","Feature 8","Feature 80","Feature 84","Feature 87","Feature 89","Feature 9","Feature 90","Feature 91","Feature 94","Feature 96","Feature 97","Feature 98","Feature 98.1","Fructose-6-phosphate","Glucose-6-phosphate","Glutamate","Glutamine","Glutaryl-carnitine","Glutathione disulfide","Glycerate","Glycine","Guanosine","Hippuric acid","Homoarginine","Homocysteine","Hydroxyphenyl pyruvate","Inositol","Isocitrate","Isoleucine","Itaconic acid","L-Octanoylcarnitine","Lactate","Leucic acid","Leucine","Lysine","Mandelic acid","Methionine","Methylphenyllactate","N-acetyl-glutamate","N-acetyl-glutamine","N-Acetyl-L-alanine","NADP+","NADPH","NG-dimethyl-L-arginine","o-acetyl-L-serine","O-Acylcarnitine","O-Butanoylcarnitine","Ornithine","Phenylalanine","Purine","Pyroglutamate","Pyrroline-5-carboxylic acid","Serine","Spermine","Stearic acid","Sucrose","Threonic acid","Thymidine","Tridecanoic acid","Trigonelline","Tyramine","UDP-D-Glucose","UDP-N-acetyl-glucosamine","UMP","Uracil","Uridine","Valine","Xanthine","Xanthosine-5-phosphate","ASV-749","ASV-3561","ASV-1035","ASV-3241","ASV-1057","ASV-2334","ASV-795","ASV-2276","ASV-3080","ASV-2572","ASV-1326","ASV-1575","ASV-1370","ASV-3473","ASV-3410","ASV-2747","ASV-3263","ASV-1373","ASV-2783","ASV-865","ASV-3077","ASV-2830","ASV-1394","ASV-692","ASV-2112","ASV-1808","ASV-1101","ASV-3297","ASV-3160","ASV-2084","ASV-1064","ASV-1506","ASV-2842","ASV-1031","ASV-1569","ASV-2486","ASV-3031","ASV-3117","ASV-3371","ASV-2407","ASV-2032","ASV-1606","ASV-2514","ASV-1049","ASV-1164","ASV-3236","ASV-1644","ASV-559","ASV-960","ASV-835","ASV-3094","ASV-2922","ASV-1067","ASV-2445","ASV-1659","ASV-2871","ASV-3515","ASV-2131","ASV-353","ASV-1088","ASV-1095","ASV-3161","ASV-3057","ASV-1152","ASV-900","ASV-2779","ASV-289","ASV-1291","ASV-3166","ASV-3663","ASV-43","ASV-1720","ASV-436","ASV-2819","ASV-820","ASV-585","ASV-3192","ASV-2528","ASV-1437","ASV-998","ASV-800","ASV-1469","ASV-3624","ASV-1534","ASV-858","ASV-3534","ASV-2691","ASV-3155","ASV-2625","ASV-638","ASV-3615","ASV-2144","ASV-3476","ASV-414","ASV-3454","ASV-698","ASV-2292","ASV-826","ASV-3268","ASV-2240","ASV-1731","ASV-1582","ASV-1079","ASV-1473","ASV-1092","ASV-3330","ASV-970","ASV-2649","ASV-3673","ASV-2021","ASV-1560","ASV-3243","ASV-1382","ASV-1041","ASV-1709","ASV-67","ASV-3595","ASV-1182","ASV-1574","ASV-682","ASV-50","ASV-2343","ASV-2865","ASV-1017","ASV-3664","ASV-2853","ASV-753","ASV-3510","ASV-3383","ASV-725","ASV-2053","ASV-3556","ASV-2763","ASV-2833","ASV-3296","ASV-1705","ASV-783","ASV-721","ASV-1358","ASV-3536","ASV-1541","ASV-823","ASV-683","ASV-165","ASV-730","ASV-3675","ASV-3639","ASV-774","ASV-2296","ASV-202","ASV-260","ASV-1529","ASV-3533","ASV-1632","ASV-3113","ASV-2739","ASV-1914","ASV-2614","ASV-1598","ASV-2847","ASV-290","ASV-1121","ASV-3518","ASV-1546","ASV-1433","ASV-283","ASV-351","ASV-727","ASV-626","ASV-2350","ASV-885","ASV-3257","ASV-3087","ASV-2271","ASV-1363","ASV-2971","ASV-2575","ASV-1818","ASV-1176","ASV-1817","ASV-147","ASV-1525","ASV-2061","ASV-474","ASV-728","ASV-1992","ASV-3574","ASV-3335","ASV-379","ASV-435","ASV-1836","ASV-1637","ASV-1353","ASV-3154","ASV-2008","ASV-777","ASV-3271","ASV-735","ASV-3361","ASV-1259","ASV-918","ASV-2867","ASV-383","ASV-1423","ASV-758","ASV-2077","ASV-776","ASV-3286","ASV-1262","ASV-1647","ASV-1091","ASV-1063","ASV-61","ASV-1319","ASV-3127","ASV-2886","ASV-3135","ASV-1115","ASV-2118","ASV-2389","ASV-956","ASV-457","ASV-1862","ASV-3475","ASV-3339","ASV-1427","ASV-1451","ASV-3123","ASV-618","ASV-1461","ASV-1465","ASV-1426","ASV-1150","ASV-3642","ASV-3245","ASV-1494","ASV-321","ASV-2388","ASV-1691","ASV-28","ASV-326","ASV-2215","ASV-680","ASV-2762","ASV-130","ASV-1491","ASV-1248","ASV-1391","ASV-245","ASV-2809","ASV-957","ASV-609","ASV-681","ASV-72","ASV-1213","ASV-1093","ASV-3048","ASV-1424","ASV-2832","ASV-3221","ASV-871","ASV-3238","ASV-1552","ASV-454","ASV-2785","ASV-3486","ASV-212","ASV-2437","ASV-1823","ASV-2087","ASV-3569","ASV-3021","ASV-3219","ASV-2382","ASV-1166","ASV-2529","ASV-2123","ASV-1295","ASV-502","ASV-3082","ASV-3088","ASV-2430","ASV-3382","ASV-3074","ASV-1674","ASV-1982","ASV-1261","ASV-3277","ASV-1867","ASV-1018","ASV-1157","ASV-2278","ASV-2719","ASV-2887","ASV-984","ASV-895","ASV-2598","ASV-421","ASV-2965","ASV-1830","ASV-2520","ASV-3081","ASV-256","ASV-1649","ASV-265","ASV-843","ASV-74","ASV-2509","ASV-1260","ASV-3477","ASV-506","ASV-398","ASV-1228","ASV-3522","ASV-201","ASV-3305","ASV-1726","ASV-285","ASV-1567","ASV-1316","ASV-3352","ASV-3337","ASV-3444","ASV-3654","ASV-799","ASV-3618"
"1 3-Dimethyluric acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-Phenylbutyric acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4-Guanidinobutanoic acid",NA,NA,0.911668166638634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.913245154040782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.900131040131276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.917447155366753,NA,NA,NA,NA,NA,NA,0.917483759458158,NA,NA,NA,NA,NA,NA,NA,0.865860469640042,NA,NA,NA,NA,0.920034735022031,NA,NA,0.904504659510003,0.886868377914367,0.910447736153481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.913049110652033,0.86748359895938,0.915080788744766,0.865936714875022,0.913005674229553,0.858884770705008,NA,NA,NA,NA,0.85707328747004,NA,NA,0.902377127811224,0.889088419425844,NA,NA,0.910449691447743,0.903854410325596,NA,NA,NA,NA,0.903856103288774,NA,0.886384249784497,NA,0.905826440882997,0.930940542037115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.865936714875022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.858778514545987,NA,NA,NA,0.906384396021347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9482751971102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.935350698306545,NA,NA,NA,NA,NA,NA,NA
"5-Hydroxytryptophan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5-Methoxytryptamine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5-Methylcytosine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
