"","Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"58","Glutaryl-carnitine","NA","NA","NA","NA","NA","0"
"59","Glutathione","Glutathione","HMDB0062697","745","C00051","NC(CCC(O)=NC(CS)C(O)=NCC(O)=O)C(O)=O","1"
"60","Glutathione disulfide","Oxidized glutathione","HMDB0003337","975","C00127","C(CC(=O)NC(CSSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)NCC(=O)O)C(C(=O)O)N","1"
"61","Glycerate","Glyceric acid","HMDB0000139","439194","C00258","C([C@H](C(=O)O)O)O","1"
"62","Glycerol-3-phosphate","Glycerol 3-phosphate","HMDB0000126","439162","C00093","C([C@H](COP(=O)(O)O)O)O","1"
"63","GMP","Guanosine monophosphate","HMDB0001397","6804","C00144","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=NC2=O)N","1"
"64","Guanosine","Guanosine","HMDB0000133","6802","C00387","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=NC2=O)N","1"
"65","Hippuric acid","Hippuric acid","HMDB0000714","464","C01586","C1=CC=C(C=C1)C(=O)NCC(=O)O","1"
"66","Histamine","Histamine","HMDB0000870","774","C00388","C1=C(NC=N1)CCN","1"
"67","Homocitrulline","Homocitrulline","HMDB0000679","65072","C02427","C(CCNC(=O)N)C[C@@H](C(=O)O)N","1"
"68","Homocysteine","Homocysteine","HMDB0000742","778","C00155","C(CS)C(C(=O)O)N","1"
"69","Hydroxyoctanoic acid","Hydroxyoctanoic acid","HMDB0000711","94180",NA,"CCCCCCC(C(=O)O)O","1"
"70","Hydroxyphenyl pyruvate","3-(3,4-Dihydroxyphenyl)pyruvate","METPA0460",NA,"C04045",NA,"1"
"71","Hydroxyproline","4-Hydroxyproline","HMDB0000725","5810","C01157","C1[C@H](CN[C@@H]1C(=O)O)O","1"
"72","Hypotaurine","Hypotaurine","HMDB0000965","107812","C00519","C(CS(=O)O)N","1"
"73","Indole","Indole","HMDB0000738","798","C00463","C1=CC=C2C(=C1)C=CN2","1"
"74","Inosine","Inosine","HMDB0000195","6021","C00294","C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","1"
"75","Inositol","myo-Inositol","HMDB0000211",NA,"C00137","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"76","Isocitrate","Isocitric acid","HMDB0000193","1198","C00311","C(C(C(C(=O)O)O)C(=O)O)C(=O)O","1"
"77","Itaconic acid","Itaconic acid","HMDB0002092","811","C00490","C=C(CC(=O)O)C(=O)O","1"
"78","L-Octanoylcarnitine","L-Octanoylcarnitine","HMDB0000791","11953814","C02838","CCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C","1"
"79","Lactate","L-Lactic acid","HMDB0000190","61503","C00186","C[C@@H](C(=O)O)O","1"
"80","Leucic acid","D-Leucic acid","HMDB0000624","439960","C03264","CC(C)C[C@H](C(=O)O)O","1"
"81","Levulinic Acid","Levulinic acid","HMDB0000720","11579",NA,"CC(=O)CCC(=O)O","1"
"82","Lysine-Glutamine","Lysyl-Glutamine","HMDB0028949","196305",NA,"NCCCCC(N)C(=O)NC(CCC(N)=O)C(O)=O","1"
"83","Mandelic acid","Mandelic acid","HMDB0000703","439616","C01984","C1=CC=C(C=C1)[C@@H](C(=O)O)O","1"
"84","Mannose-6-phosphate","Mannose 6-phosphate","HMDB0001078","439198","C00275","C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O)O)O)O)OP(=O)(O)O","1"
"85","Methionine sulfoxide","Methionine sulfoxide","HMDB0002005","847","C02989","CS(=O)CCC(C(=O)O)N","1"
"86","Methyloxovaleric acid (Ketoleucine)","NA","NA","NA","NA","NA","0"
"87","Methylphenyllactate","3-Methylphenylacetic acid","HMDB0002222","12121",NA,"CC1=CC(=CC=C1)CC(=O)O","1"
"88","N N N-Trimethyllysine","N6,N6,N6-Trimethyl-L-lysine","HMDB0001325","440120","C03793","C[N+](C)(C)CCCC[C@@H](C(=O)[O-])N","1"
"89","N-acetyl-glutamate","N-Acetylglutamic acid","HMDB0001138","185","C00624","CC(=O)NC(CCC(=O)O)C(=O)O","1"
"90","N-Acetyl-L-alanine","N-Acetyl-L-alanine","HMDB0000766","88064",NA,"C[C@@H](C(=O)O)NC(=O)C","1"
"91","NAD+","NAD","HMDB0000902","5893","C00003","C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N","1"
"92","NADH","NADH","HMDB0001487","928","C00004","C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)O)O)O)O","1"
"93","NADP+","NADP","HMDB0000217","5886","C00006","C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)OP(=O)(O)O)O)O)O)C(=O)N","1"
"94","O-Acylcarnitine","O-Acylcarnitine",NA,"5355","C02301",NA,"1"
"95","O-Butanoylcarnitine","Butyrylcarnitine","HMDB0002013","439829","C02862","CCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"96","O-Propanoylcarnitine","Propionylcarnitine","HMDB0000824","107738","C03017","CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"97","Pantothenate","Pantothenic acid","HMDB0000210","6613","C00864","CC(C)(CO)C(C(=O)NCCC(=O)O)O","1"
"98","Proline","L-Proline","HMDB0000162","145742","C00148","C1C[C@H](NC1)C(=O)O","1"
"99","Purine","Purine","HMDB0001366","1044","C15587","C1=C2C(=NC=N1)N=CN2","1"
"100","Pyroglutamate","Pyroglutamic acid","HMDB0000267","7405","C01879","C1CC(=O)N[C@@H]1C(=O)O","1"
"101","Pyrroline-5-carboxylic acid","NA","NA","NA","NA","NA","0"
"102","Pyruvate","Pyruvic acid","HMDB0000243","1060","C00022","CC(=O)C(=O)O","1"
"103","Ribitol","Ribitol","HMDB0000508",NA,"C00474","OC[C@H](O)[C@H](O)[C@H](O)CO","1"
"104","Ribose phosphate","Ribose 1-phosphate","HMDB0001489","439236","C00620","C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O","1"
"105","S-adenosyl-L-methionine","S-Adenosylmethionine","HMDB0001185","16757548","C00019","C[S+](CC[C@H](C(=O)O)N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O","1"
"106","Serine","Serine","HMDB0062263","5951","C00716","N[C@@H](CO)C(O)=O","1"
"107","Sorbitol","Sorbitol","HMDB0000247","5780","C00794","C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O","1"
"108","Spermine","Spermine","HMDB0001256","1103","C00750","C(CCNCCCN)CNCCCN","1"
"109","Stearic acid","Stearic acid","HMDB0000827","5281","C01530","CCCCCCCCCCCCCCCCCC(=O)O","1"
"110","Succinate","Succinic acid","HMDB0000254","1110","C00042","C(CC(=O)O)C(=O)O","1"
"111","Thiamine","Thiamine","HMDB0000235","1130","C00378","CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO","1"
"112","Threonic acid","Threonic acid","HMDB0000943","151152","C01620","C([C@H]([C@@H](C(=O)O)O)O)O","1"
"113","Threonine","L-Threonine","HMDB0000167","6288","C00188","C[C@H]([C@@H](C(=O)O)N)O","1"
"114","Thymidine","Thymidine","HMDB0000273","5789","C00214","CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O","1"
"115","Tridecanoic acid","Tridecanoic acid","HMDB0000910","656741","C17076","CCCCCCCCCCCCC(=O)O","1"
"116","Trigonelline","Trigonelline","HMDB0000875","5570","C01004","C[N+]1=CC=CC(=C1)C(=O)[O-]","1"
"117","Tryptamine","Tryptamine","HMDB0000303","1150","C00398","C1=CC=C2C(=C1)C(=CN2)CCN","1"
"118","Tryptophan","L-Tryptophan","HMDB0000929","6305","C00078","C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N","1"
"119","Tyramine","Tyramine","HMDB0000306","5610","C00483","C1=CC(=CC=C1CCN)O","1"
"120","Tyrosine","L-Tyrosine","HMDB0000158","6057","C00082","C1=CC(=CC=C1C[C@@H](C(=O)O)N)O","1"
"121","UDP-D-Glucose","Uridine diphosphate glucose","HMDB0000286","53477679","C00029","C1=CN(C(=O)NC1=O)[C@@H]2[C@H]([C@H]([C@@H](O2)COP(=O)(O)OP(=O)(O)OC3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)O)O)O","1"
"122","Uracil","Uracil","HMDB0000300","1174","C00106","C1=CNC(=O)NC1=O","1"
"123","Uridine","Uridine","HMDB0000296","6029","C00299","C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O","1"
"124","Xanthine","Xanthine","HMDB0000292","1188","C00385","C1=NC2=C(N1)C(=O)NC(=O)N2","1"
