Type III Analysis of Variance Table with Satterthwaite's method
          Sum Sq Mean Sq NumDF DenDF F value Pr(>F)
Group     12.947  6.4738     2    12  1.3349 0.2996
Day       10.740  5.3701     2    24  1.1073 0.3468
Group:Day 10.730  2.6824     4    24  0.5531 0.6987
