Type II Analysis of Variance Table with Satterthwaite's method
            Sum Sq  Mean Sq NumDF DenDF F value Pr(>F)
Group     0.060275 0.030138     2    12  0.3625 0.7033
Day       0.171463 0.085732     2    24  1.0312 0.3718
Group:Day 0.065453 0.016363     4    24  0.1968 0.9376
