"","Fragment.ID","Day","Group","Coral_Carb_mgcm2","Symbiont_Carb_mgcm2","HostSymRatioCarb"
"1","R40","37","Control",7.58542497651812,2.69842086420448,2.8110607493225
"2","R35","37","Mortality",5.63892803968029,3.629813879844,1.55350335481185
"3","R32","37","Control",11.8958594526828,4.29471847311012,2.76988108234907
"4","R36","52","Mortality",7.70739934718777,3.04744926714843,2.52913130672057
"5","R11","0","Mortality",11.3086951653201,3.12022534161968,3.62432001768496
"6","R19","52","Bleached",10.9491876108727,3.75159660740441,2.91854075922305
"7","R11","37","Mortality",12.0952804095717,3.86315596975907,3.13093245632691
"8","R26","37","Mortality",9.14266634337988,3.83812702830917,2.38206455282632
"9","R28","52","Mortality",5.72831285501692,2.36872376724728,2.41831189192392
"10","R20","0","Bleached",13.4146328229796,3.33796297239196,4.01880815752932
"11","R8","37","Bleached",5.67135244617644,2.49616858621927,2.27202300256745
"12","R29","37","Bleached",8.99470202483246,2.06542424830161,4.35489320522347
"13","R37","52","Bleached",6.35141585487198,2.0801262287514,3.05338001467556
"14","R20","37","Bleached",11.2673935041411,3.77309210739099,2.98624925749091
"15","R7","37","Control",9.2378112043522,4.34130464062866,2.12788826609839
"16","R23","37","Control",9.19694518394116,3.16755634612632,2.90348274157406
"17","R17","52","Control",6.83951444394163,2.94904185999091,2.31923274360124
"18","R19","37","Bleached",11.8082121935287,3.0126430053489,3.91955242375661
"19","R7","0","Control",6.44471224645148,2.48626766264515,2.59212326302588
"20","R29","52","Bleached",8.95730855779349,2.59733519333901,3.44865328925005
"21","R8","52","Bleached",6.96321177259514,3.52626575087547,1.97467016513613
"22","R26","52","Mortality",4.32352347898054,2.53492438575554,1.70558281867327
"23","R11","52","Mortality",6.84936111694693,1.76434842543299,3.88209098509896
"24","R8","0","Bleached",10.0973146050806,3.76178884126599,2.68417899864959
"25","R23","52","Control",7.4337313344929,3.19708120107465,2.32516187952754
"26","R20","52","Bleached",3.501538149519,2.46752488720579,1.41904876731928
"27","R40","0","Control",7.97007513032601,3.68148672139138,2.16490666230457
"28","R17","37","Control",5.56366157116675,3.02028522259005,1.84209806727976
"29","R36","0","Mortality",10.5602480319942,2.60246265380244,4.05779042268472
"30","R40","52","Control",7.52390103547228,3.32133356456471,2.2653253246662
"31","R32","0","Control",11.4249099499941,4.55268455153626,2.5094885930849
"32","R23","0","Control",7.16286643633545,3.0593057584549,2.34133721892285
"33","R28","0","Mortality",9.78473764519639,1.3047814901452,7.49913891260636
"34","R35","0","Mortality",12.9733162471517,7.4011410766041,1.75288055083315
"35","R17","0","Control",7.56609139728025,2.75536979007987,2.74594409233939
"36","R19","0","Bleached",9.23996938983984,2.11880788124151,4.36092836525873
"37","R37","0","Bleached",10.6564047613551,3.38702588934322,3.14624248810258
"38","R32","52","Control",7.04452316124337,2.7746749587347,2.53886428717251
"39","R28","37","Mortality",6.01400016365549,2.16042034929937,2.78371760643981
"40","R36","37","Mortality",7.80393952179861,0.478195336041448,16.3195642734629
"41","R7","52","Control",6.67385418010679,2.61731428818338,2.54988642756349
"42","R35","52","Mortality",7.29585439767161,3.84577566153894,1.8971086822969
"43","R26","0","Mortality",8.90375152490014,3.20065368736549,2.78185408188568
"44","R29","0","Bleached",11.8282782444762,3.28921790383037,3.59607620726553
"45","R37","37","Bleached",13.1234889915033,5.35895003296593,2.44889183716461
