"","Fragment.ID","Day","Group","Pnet_umol.cm2.hr","Pgross_umol.cm2.hr","abs.Rdark_umol.cm2.hr","PR"
"1","R11","52","Mortality",-0.231892408440893,0.10209347341123,0.333985881852123,0.305682003218427
"2","R11","0","Mortality",0.505827306374198,1.18684640671882,0.68101910034462,1.74275054270612
"3","R11","37","Mortality",-0.362459195564437,0.00332652817998796,0.365785723744425,0.00909419904619408
"4","R17","52","Control",0.26802023221355,0.692076769671733,0.424056537458183,1.63203891117934
"5","R17","37","Control",0.710850188949669,1.32916674090036,0.618316551950694,2.14965414835984
"6","R17","0","Control",0.418778504270092,1.11863338641645,0.69985488214636,1.59837905679211
"7","R19","52","Bleached",-0.419077503194767,0.056727225792024,0.475804728986791,0.119223753645372
"8","R19","0","Bleached",0.383549356954316,1.10959619666022,0.7260468397059,1.52827081667305
"9","R19","37","Bleached",-0.118482645777323,0.141197137953179,0.259679783730502,0.543735580509088
"10","R20","52","Bleached",-0.359478597885597,-0.000363983377368982,0.359114614508228,-0.0010135576851068
"11","R20","37","Bleached",-0.161168333606624,0.118471965605788,0.279640299212412,0.423658413824675
"12","R20","0","Bleached",0.164107111078926,0.642436718951989,0.478329607873063,1.3430837405375
"13","R23","52","Control",-0.0432976128733416,0.397836251410021,0.441133864283363,0.901849265316141
"14","R23","0","Control",0.242385534244131,0.730722151960347,0.488336617716216,1.49634929155566
"15","R23","37","Control",0.234861575543515,0.853800610769268,0.618939035225753,1.37945833462879
"16","R26","52","Mortality",-0.166247091345944,0.2905505959212,0.456797687267144,0.636059691237623
"17","R26","37","Mortality",-0.328214684268609,0.12670313973188,0.454917824000489,0.27851874129193
"18","R26","0","Mortality",0.152410718207924,0.766222463375359,0.613811745167435,1.24830205581412
"19","R28","52","Mortality",-0.196050107240207,0.398100045859469,0.594150153099676,0.670032724526931
"20","R28","0","Mortality",0.219381985613691,1.01877047739001,0.79938849177632,1.27443725781716
"21","R28","37","Mortality",-0.190761041998283,0.16048872543146,0.351249767429743,0.456907705892107
"22","R29","52","Bleached",-0.208516511270356,0.190186820132505,0.398703331402861,0.477013370977668
"23","R29","37","Bleached",-0.184252321060692,0.114343408438592,0.298595729499284,0.382937186108906
"24","R29","0","Bleached",0.328868935570103,1.06888893287095,0.740019997300849,1.44440547116243
"25","R32","37","Control",0.199915052571803,0.573392769538858,0.373477716967055,1.53527973287209
"26","R32","52","Control",0.123385337604759,0.510039748912822,0.386654411308063,1.31911012520805
"27","R32","0","Control",0.0398541228237605,0.731898508680145,0.692044385856385,1.05758896920238
"28","R35","52","Mortality",-0.245417764206228,0.213172804320127,0.458590568526355,0.464843411422832
"29","R35","37","Mortality",-0.171483845722897,0.233520315391674,0.405004161114571,0.576587447272212
"30","R35","0","Mortality",0.0296719298720283,0.843874157206048,0.81420222733402,1.03644294854017
"31","R36","52","Mortality",-0.372376290008298,0.093485228211539,0.465861518219837,0.200671711560911
"32","R36","37","Mortality",-0.446035379641305,-0.015658158627759,0.430377221013546,-0.0363824056275185
"33","R36","0","Mortality",0.0849942312017064,0.658202648617146,0.573208417415439,1.14827805841537
"34","R37","37","Bleached",-0.345535085293069,0.106117833470761,0.45165291876383,0.234954384356033
"35","R37","52","Bleached",-0.308777291226609,0.066308735506278,0.375086026732887,0.176782739905955
"36","R37","0","Bleached",0.250899230871371,1.11714294862035,0.86624371774898,1.28964046229779
"37","R40","37","Control",0.307722742490399,0.69871462487413,0.390991882383731,1.78703102635873
"38","R40","0","Control",0.228090259655081,0.96020830838452,0.732118048729439,1.31154847234121
"39","R40","52","Control",0.0174251077840118,0.520265285148308,0.502840177364296,1.03465337212183
"40","R7","37","Control",0.738801590983175,1.28360988100237,0.544808290019197,2.35607626484013
"41","R7","0","Control",0.157381753493615,0.846174805856494,0.688793052362879,1.2284891709545
"42","R7","52","Control",0.155203731079126,0.77347392989808,0.618270198818954,1.2510289698187
"43","R8","37","Bleached",-0.442058320379591,0.102429184428058,0.544487504807649,0.188120358178363
"44","R8","0","Bleached",0.267555333297523,0.763209073284703,0.49565373998718,1.53980291423695
"45","R8","52","Bleached",-0.281860639541152,0.062755950501385,0.344616590042537,0.182103683672451
