"","Fragment.ID","Day","Group","ChlA.ugcm2","ChlC2.ugcm2"
"1","R11","0","Mortality",7.40722331889497,2.48951699598283
"2","R11","37","Mortality",1.383700013837,0.490636963239702
"3","R11","52","Mortality",0.32751005591625,0.0913221251745177
"4","R17","0","Control",10.3365516861968,3.33457116135776
"5","R17","37","Control",5.6995893036697,1.64190685734674
"6","R17","52","Control",2.65746985451145,0.836893651817732
"7","R19","0","Bleached",4.24240293575757,1.36950513824939
"8","R19","37","Bleached",1.08111950077643,1.01473338759676
"9","R19","52","Bleached",1.3405398084409,0.382705087255819
"10","R20","0","Bleached",8.22883767575076,2.63920649755089
"11","R20","37","Bleached",3.59377232917543,1.05426882796072
"12","R20","52","Bleached",0.915689450566811,1.76202005654336
"13","R23","0","Control",5.16441789991798,1.55973806140152
"14","R23","37","Control",2.05819623627843,0.250322767446055
"15","R23","52","Control",4.88986266126999,5.37157161485514
"16","R26","0","Mortality",6.05472688817294,2.04455743833157
"17","R26","37","Mortality",1.59662696697883,0.504380752776458
"18","R26","52","Mortality",1.29900916398376,0.272557169686257
"19","R28","0","Mortality",9.26151613005247,7.27550580564107
"20","R28","37","Mortality",0.50191065722139,0.21612214798096
"21","R28","52","Mortality",0.707754714051096,0.170615238373105
"22","R29","0","Bleached",3.58325967431682,1.4139124035294
"23","R29","37","Bleached",0.943722006081015,0.936417023572106
"24","R29","52","Bleached",0.281520194417065,0.0286217319132897
"25","R32","0","Control",13.8831785827656,4.10523954289063
"26","R32","37","Control",4.10290362651392,1.38907202748599
"27","R32","52","Control",2.71643101001782,1.05396662916266
"28","R35","0","Mortality",6.17026715574888,1.85880997208336
"29","R35","37","Mortality",1.34845890410959,0.463976938869421
"30","R35","52","Mortality",1.24846999926503,0.601046478100848
"31","R36","0","Mortality",4.95214890099998,1.59004148868267
"32","R36","37","Mortality",0.723869308539402,0.272626912313316
"33","R36","52","Mortality",0.786594930518342,0.274749751572507
"34","R37","0","Bleached",5.21012186928446,1.63831837184129
"35","R37","37","Bleached",4.11084027635794,1.12810838785524
"36","R37","52","Bleached",0.50223357170291,0.147834098432613
"37","R40","0","Control",9.05603495754226,2.84515065489065
"38","R40","37","Control",3.55944039970495,1.15392072310583
"39","R40","52","Control",2.66135052665073,0.800021620827792
"40","R7","0","Control",4.94870599207274,1.40710187258262
"41","R7","37","Control",5.13532089365488,1.67873097669935
"42","R7","52","Control",2.0493608193071,0.733430854805166
"43","R8","0","Bleached",11.5075025338568,3.6396666055591
"44","R8","37","Bleached",1.00280034603477,0.397639015846432
"45","R8","52","Bleached",1.35899845481829,0.442243262116305
