sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
WSH129	111303	67589	60.73	66541	62240	55.92	60341	54.21
WSH130	61961	36798	59.39	36258	33972	54.83	33675	54.35
WSH131	17630	8685	49.26	8558	7875	44.67	7863	44.6
WSH132	137964	91304	66.18	90139	85393	61.9	84695	61.39
WSH133	34073	16801	49.31	16580	15729	46.16	15571	45.7
WSH134	23942	12591	52.59	12439	11978	50.03	11871	49.58
WSH135	42232	27894	66.05	26310	23094	54.68	23090	54.67
WSH136	25023	14179	56.66	13719	12783	51.09	12686	50.7
WSH137	24750	11084	44.78	10967	10008	40.44	9998	40.4
WSH138	113482	76588	67.49	74684	69134	60.92	68862	60.68
WSH139	41819	19337	46.24	19124	18053	43.17	17953	42.93
WSH140	63295	32551	51.43	31745	29462	46.55	28983	45.79
WSH141	34734	18714	53.88	17872	16462	47.39	16185	46.6
WSH142	36100	21061	58.34	19905	17681	48.98	17328	48
WSH143	44306	27345	61.72	26250	23415	52.85	23213	52.39
WSH144	47359	22840	48.23	22540	21187	44.74	20215	42.68
WSH145	44700	28025	62.7	27198	25635	57.35	24932	55.78
WSH146	38551	21278	55.19	20648	19319	50.11	19182	49.76
WSH147	39808	19654	49.37	19499	18524	46.53	17894	44.95
WSH148	36767	19134	52.04	18703	17600	47.87	17584	47.83
WSH149	39590	21603	54.57	20883	19304	48.76	19226	48.56
WSH150	26557	15177	57.15	14822	14146	53.27	14010	52.75
WSH151	39294	21752	55.36	20963	18977	48.29	18914	48.13
WSH152	27175	15047	55.37	14454	13155	48.41	13100	48.21
WSH153	28500	14514	50.93	14108	12303	43.17	12303	43.17
WSH154	7548	2484	32.91	2405	1997	26.46	1997	26.46
WSH155	23235	9136	39.32	8998	7937	34.16	7911	34.05
WSH156	37502	16463	43.9	16111	15098	40.26	15092	40.24
WSH157	45289	23974	52.94	23586	22408	49.48	21810	48.16
WSH158	35248	18445	52.33	18354	17630	50.02	17067	48.42
WSH159	28978	15154	52.29	14784	13909	48	13779	47.55
WSH160	59845	34860	58.25	33154	29413	49.15	29337	49.02
WSH161	59298	35023	59.06	34032	31496	53.11	31483	53.09
WSH162	74910	40937	54.65	40161	37020	49.42	36600	48.86
WSH163	38424	18103	47.11	17829	17033	44.33	16727	43.53
WSH164	49744	23804	47.85	23314	22224	44.68	22216	44.66
WSH165	32588	16054	49.26	15800	14658	44.98	14522	44.56
WSH166	26796	13946	52.05	13825	13198	49.25	13156	49.1
WSH167	21576	12357	57.27	12263	11472	53.17	11406	52.86
WSH168	19598	8907	45.45	8150	6434	32.83	6386	32.58
WSH169	42468	12787	30.11	12351	10898	25.66	10898	25.66
WSH170	68249	37564	55.04	36899	34502	50.55	34219	50.14
WSH171	70598	39391	55.8	38405	35750	50.64	35591	50.41
WSH172	73095	37858	51.79	37464	35664	48.79	34113	46.67
WSH173	25133	13030	51.84	12543	11364	45.22	11326	45.06
