Vial,Date,Well,Sample.Type,Concentration
163,20210719-1,D4,Sample,
164,20210719-1,E4,Sample,
169,20210719-1,F4,Sample,
170,20210719-1,G4,Sample,
175,20210719-1,H4,Sample,
S8,20210719-1,A5,Standard,0.3604
S9,20210719-1,B5,Standard,0.901
151,20210719-1,C5,Sample,
163,20210719-1,D5,Sample,
164,20210719-1,E5,Sample,
169,20210719-1,F5,Sample,
170,20210719-1,G5,Sample,
175,20210719-1,H5,Sample,
S8,20210719-1,A6,Standard,0.3604
S9,20210719-1,B6,Standard,0.901
151,20210719-1,C6,Sample,
163,20210719-1,D6,Sample,
164,20210719-1,E6,Sample,
169,20210719-1,F6,Sample,
170,20210719-1,G6,Sample,
175,20210719-1,H6,Sample,
176,20210719-1,A7,Sample,
181,20210719-1,B7,Sample,
182,20210719-1,C7,Sample,
187,20210719-1,D7,Sample,
188,20210719-1,E7,Sample,
193,20210719-1,F7,Sample,
194,20210719-1,G7,Sample,
199,20210719-1,H7,Sample,
176,20210719-1,A8,Sample,
181,20210719-1,B8,Sample,
182,20210719-1,C8,Sample,
187,20210719-1,D8,Sample,
188,20210719-1,E8,Sample,
193,20210719-1,F8,Sample,
194,20210719-1,G8,Sample,
199,20210719-1,H8,Sample,
176,20210719-1,A9,Sample,
181,20210719-1,B9,Sample,
182,20210719-1,C9,Sample,
187,20210719-1,D9,Sample,
188,20210719-1,E9,Sample,
193,20210719-1,F9,Sample,
194,20210719-1,G9,Sample,
199,20210719-1,H9,Sample,
200,20210719-1,A10,Sample,
205,20210719-1,B10,Sample,
206,20210719-1,C10,Sample,
211,20210719-1,D10,Sample,
212,20210719-1,E10,Sample,
217,20210719-1,F10,Sample,
218,20210719-1,G10,Sample,
223,20210719-1,H10,Sample,
200,20210719-1,A11,Sample,
205,20210719-1,B11,Sample,
206,20210719-1,C11,Sample,
211,20210719-1,D11,Sample,
212,20210719-1,E11,Sample,
217,20210719-1,F11,Sample,
218,20210719-1,G11,Sample,
223,20210719-1,H11,Sample,
200,20210719-1,A12,Sample,
205,20210719-1,B12,Sample,
206,20210719-1,C12,Sample,
211,20210719-1,D12,Sample,
212,20210719-1,E12,Sample,
217,20210719-1,F12,Sample,
218,20210719-1,G12,Sample,
223,20210719-1,H12,Sample,
224,20210719-2,A1,Sample,
229,20210719-2,B1,Sample,
230,20210719-2,C1,Sample,
235,20210719-2,D1,Sample,
236,20210719-2,E1,Sample,
241,20210719-2,F1,Sample,
242,20210719-2,G1,Sample,
247,20210719-2,H1,Sample,
224,20210719-2,A2,Sample,
229,20210719-2,B2,Sample,
230,20210719-2,C2,Sample,
235,20210719-2,D2,Sample,
236,20210719-2,E2,Sample,
241,20210719-2,F2,Sample,
242,20210719-2,G2,Sample,
247,20210719-2,H2,Sample,
224,20210719-2,A3,Sample,
229,20210719-2,B3,Sample,
230,20210719-2,C3,Sample,
235,20210719-2,D3,Sample,
236,20210719-2,E3,Sample,
241,20210719-2,F3,Sample,
242,20210719-2,G3,Sample,
247,20210719-2,H3,Sample,
248,20210719-2,A4,Sample,
253,20210719-2,B4,Sample,
254,20210719-2,C4,Sample,
259,20210719-2,D4,Sample,
260,20210719-2,E4,Sample,
265,20210719-2,F4,Sample,
266,20210719-2,G4,Sample,
NA,20210719-2,H4,NA,
248,20210719-2,A5,Sample,
253,20210719-2,B5,Sample,
254,20210719-2,C5,Sample,
259,20210719-2,D5,Sample,
260,20210719-2,E5,Sample,
265,20210719-2,F5,Sample,
266,20210719-2,G5,Sample,
NA,20210719-2,H5,NA,
248,20210719-2,A6,Sample,
253,20210719-2,B6,Sample,
254,20210719-2,C6,Sample,
259,20210719-2,D6,Sample,
260,20210719-2,E6,Sample,
265,20210719-2,F6,Sample,
266,20210719-2,G6,Sample,
NA,20210719-2,H6,NA,
NA,20210719-2,A7,NA,
NA,20210719-2,B7,NA,
NA,20210719-2,C7,NA,
NA,20210719-2,D7,NA,
NA,20210719-2,E7,NA,
NA,20210719-2,F7,NA,
NA,20210719-2,G7,NA,
NA,20210719-2,H7,NA,
NA,20210719-2,A8,NA,
NA,20210719-2,B8,NA,
NA,20210719-2,C8,NA,
NA,20210719-2,D8,NA,
NA,20210719-2,E8,NA,
NA,20210719-2,F8,NA,
NA,20210719-2,G8,NA,
NA,20210719-2,H8,NA,
NA,20210719-2,A9,NA,
NA,20210719-2,B9,NA,
NA,20210719-2,C9,NA,
NA,20210719-2,D9,NA,
NA,20210719-2,E9,NA,
NA,20210719-2,F9,NA,
NA,20210719-2,G9,NA,
NA,20210719-2,H9,NA,
NA,20210719-2,A10,NA,
NA,20210719-2,B10,NA,
NA,20210719-2,C10,NA,
NA,20210719-2,D10,NA,
NA,20210719-2,E10,NA,
NA,20210719-2,F10,NA,
NA,20210719-2,G10,NA,
NA,20210719-2,H10,NA,
NA,20210719-2,A11,NA,
NA,20210719-2,B11,NA,
NA,20210719-2,C11,NA,
NA,20210719-2,D11,NA,
NA,20210719-2,E11,NA,
NA,20210719-2,F11,NA,
NA,20210719-2,G11,NA,
NA,20210719-2,H11,NA,
NA,20210719-2,A12,NA,
NA,20210719-2,B12,NA,
NA,20210719-2,C12,NA,
NA,20210719-2,D12,NA,
NA,20210719-2,E12,NA,
NA,20210719-2,F12,NA,
NA,20210719-2,G12,NA,
NA,20210719-2,H12,NA,
