"","Metabolite","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","p.adj","Enrichment.dir","Feature.status"
"1","2-Aminoethylphosphonate",1.84740800276572,14.0703972511584,12.2229892483927,3.12327043569465,0.0219826682880614,5.69205723257431,0.380870532957822,3.31394547257362,"Welch Two Sample t-test","two.sided",0.037565319226434,"Bleached","Identified"
"2","4-Guanidinobutanoic acid",3.6091005018344,17.0168263369251,13.4077258350907,4.18380622686484,0.0109507382853934,4.47406157834153,1.31087948702128,5.90732151664752,"Welch Two Sample t-test","two.sided",0.022399237401941,"Bleached","Identified"
"3","Acetyllysine",0.78666616916154,13.928902179589,13.1422360104275,3.30729486423608,0.0172514444958005,5.76363980723592,0.198814000085183,1.3745183382379,"Welch Two Sample t-test","two.sided",0.0324061391309003,"Bleached","Identified"
"4","Alanine",0.816523630789399,15.3821657157235,14.5656420849341,2.8322914705104,0.0240219511893001,7.36348056603782,0.141586768666314,1.49146049291249,"Welch Two Sample t-test","two.sided",0.0380031006824996,"Bleached","Identified"
"5","Arginine",1.97529696513626,20.2189921323346,18.2436951671984,4.0684536428384,0.00417260615266599,7.4497146822281,0.841136470071344,3.10945746020117,"Welch Two Sample t-test","two.sided",0.0128306551312813,"Bleached","Identified"
"6","Feature 11",2.69247714380948,17.8938538795809,15.2013767357714,4.35964635129682,0.00362342365510743,6.74275821701328,1.22073657607945,4.16421771153951,"Welch Two Sample t-test","two.sided",0.0128306551312813,"Bleached","Unknown"
"7","Feature 12",2.68399760604726,17.8928565884103,15.208858982363,4.3619610871325,0.00358747384721528,6.76334148526834,1.21861458465962,4.14938062743489,"Welch Two Sample t-test","two.sided",0.0128306551312813,"Bleached","Unknown"
"8","Feature 14",2.475555963571,19.203346058922,16.727790095351,4.30301687122909,0.00459102992886175,6.26710204953609,1.08224659600332,3.86886533113867,"Welch Two Sample t-test","two.sided",0.0128306551312813,"Bleached","Unknown"
"9","Feature 15",2.21331761743544,12.9552694489861,10.7419518315506,3.61057405430824,0.00974408672929886,6.5144167350444,0.741585899724304,3.68504933514658,"Welch Two Sample t-test","two.sided",0.0202377185916207,"Bleached","Unknown"
"10","Feature 16",2.45277776285054,19.0206778679548,16.5679001051043,4.9015660766384,0.00247195589844344,6.19726450223059,1.23771202022303,3.66784350547805,"Welch Two Sample t-test","two.sided",0.0102362087864901,"Bleached","Unknown"
"11","Feature 17",3.9902454497021,18.3569819671308,14.3667365174287,3.39136910276361,0.0213281110277865,4.70971994012936,0.908790320030555,7.07170057937364,"Welch Two Sample t-test","two.sided",0.0369140383173229,"Bleached","Unknown"
"12","Feature 35",1.99053187730068,20.2170254156202,18.2264935383195,4.06346437536377,0.00425674909770217,7.40249369278852,0.844841277675588,3.13622247692577,"Welch Two Sample t-test","two.sided",0.0128306551312813,"Bleached","Unknown"
"13","Feature 36",1.09693970320896,14.9660610086389,13.8691213054299,3.64363472355505,0.0067621140460928,7.85526402997559,0.400469445702778,1.79340996071514,"Welch Two Sample t-test","two.sided",0.0163015249325451,"Bleached","Unknown"
"14","Feature 37",1.74133498667692,14.1506270074278,12.4092920207509,4.00593576458177,0.00407696816101869,7.84511144934405,0.735485772089913,2.74718420126393,"Welch Two Sample t-test","two.sided",0.0128306551312813,"Bleached","Unknown"
"15","Feature 40",0.78118455580476,15.0709553547066,14.2897707989018,4.01435011135905,0.00904091656832062,5.29863508185756,0.289316578796312,1.27305253281321,"Welch Two Sample t-test","two.sided",0.0190706833863013,"Bleached","Unknown"
"16","Feature 41",1.03470236725432,17.438894917571,16.4041925503166,2.65371553314328,0.031688085084,7.2627567905791,0.119437714170658,1.94996702033798,"Welch Two Sample t-test","two.sided",0.0453647520691265,"Bleached","Unknown"
"17","Feature 42",2.55017219001632,14.9577319384777,12.4075597484614,4.69874028008129,0.00202660371610082,7.23200047161189,1.27510607138137,3.82523830865126,"Welch Two Sample t-test","two.sided",0.00943418971288314,"Bleached","Unknown"
"18","Feature 43",1.32435672296564,17.5147933372055,16.1904366142398,3.81076332155066,0.00607147054934111,7.3307133203455,0.510033550712529,2.13867989521875,"Welch Two Sample t-test","two.sided",0.0149027004392918,"Bleached","Unknown"
"19","Feature 53",2.89777803681804,14.5355137467511,11.6377357099331,2.8219888645513,0.0242093826569997,7.41694579477309,0.497046417979792,5.29850965565628,"Welch Two Sample t-test","two.sided",0.0380031006824996,"Bleached","Unknown"
"20","Feature 54",1.93880853478602,17.4786930983941,15.5398845636081,4.22769478660324,0.00440718997221838,6.62966028124312,0.84199713737309,3.03561993219895,"Welch Two Sample t-test","two.sided",0.0128306551312813,"Bleached","Unknown"
"21","Feature 57",3.37423806171214,17.277962822274,13.9037247605619,2.9329450241301,0.0319233440486445,5.07770584711938,0.43044530241084,6.31803082101344,"Welch Two Sample t-test","two.sided",0.0453647520691265,"Bleached","Unknown"
"22","Feature 59",0.764967951082621,11.1285749035091,10.3636069524265,2.86366272173251,0.0235979387546779,7.16955593205475,0.136323455603014,1.39361244656223,"Welch Two Sample t-test","two.sided",0.0380031006824996,"Bleached","Unknown"
"23","Feature 61",3.80117555001698,18.1906176790147,14.3894421289978,3.27018927319908,0.0233551436023224,4.82874103524194,0.781046493401991,6.82130460663197,"Welch Two Sample t-test","two.sided",0.0380031006824996,"Bleached","Unknown"
"24","Feature 62",3.39083647899166,15.0954977866949,11.7046613077033,4.3724485265254,0.00438947648160807,6.17973353521554,1.50655308930363,5.27511986867969,"Welch Two Sample t-test","two.sided",0.0128306551312813,"Bleached","Unknown"
"25","Feature 63",1.6275340103862,14.3272846891344,12.6997506787482,3.89259165886832,0.00494217827278983,7.70298455307481,0.656859526431375,2.59820849434102,"Welch Two Sample t-test","two.sided",0.0128306551312813,"Bleached","Unknown"
"26","Feature 65",2.02334245145536,12.7709531079575,10.7476106565021,2.65697772453069,0.0301728514875271,7.62994039393688,0.252337285050678,3.79434761786005,"Welch Two Sample t-test","two.sided",0.0442753799001756,"Bleached","Unknown"
"27","Feature 66",2.19059680106386,12.9415464122575,10.7509496111937,2.64394815757358,0.0300967042258246,7.82694118998883,0.272619304546289,4.10857429758144,"Welch Two Sample t-test","two.sided",0.0442753799001756,"Bleached","Unknown"
"28","Feature 67",2.30507926608008,14.9124902701926,12.6074110041125,5.22778170939058,0.000965832646637786,7.52723917760762,1.27707191073341,3.33308662142675,"Welch Two Sample t-test","two.sided",0.00786230609674026,"Bleached","Unknown"
"29","Feature 7",1.79446616122678,13.9744869524904,12.1800207912636,2.97156972739315,0.0294735686385329,5.22315819577008,0.261885594748897,3.32704672770466,"Welch Two Sample t-test","two.sided",0.0442103529577993,"Bleached","Unknown"
"30","Feature 71",1.07127705970766,11.4387102485388,10.3674331888312,3.26244594778777,0.0159263277861148,6.33084536485286,0.27786327718687,1.86469084222846,"Welch Two Sample t-test","two.sided",0.0307150607303642,"Bleached","Unknown"
"31","Feature 73",1.2953911689496,12.7827672313024,11.4873760623528,2.88581500606217,0.0203452874008861,7.99400810316121,0.260131748340216,2.33065058955898,"Welch Two Sample t-test","two.sided",0.0365148054579698,"Bleached","Unknown"
"32","Feature 78",2.3213197792742,13.9605940279881,11.6392742487139,4.02083177628177,0.00520726126407681,6.89981393437605,0.952138549237648,3.69050100931075,"Welch Two Sample t-test","two.sided",0.0132637786915164,"Bleached","Unknown"
"33","Feature 8",2.24597307978706,17.5715200830389,15.3255470032519,4.22881915879827,0.00483226383964484,6.36003027516009,0.96401713096407,3.52792902861005,"Welch Two Sample t-test","two.sided",0.0128306551312813,"Bleached","Unknown"
"34","Feature 81",3.40313752462774,14.1583856083251,10.7552480836974,6.41765584437409,0.000957653820897116,5.48808802880663,2.07568493519893,4.73059011405654,"Welch Two Sample t-test","two.sided",0.00786230609674026,"Bleached","Unknown"
