"","Metabolite","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","p.adj","Enrichment.dir","Feature.status"
"1","2-Aminoethylphosphonate",3.67370340663886,15.3475425294599,11.673839122821,3.23164174468311,0.0226218126533301,5.08332240056345,0.76583572367176,6.58157108960596,"Welch Two Sample t-test","two.sided",0.0274145695714086,"Bleached","Identified"
"2","4-Guanidinobutanoic acid",3.85694891628858,17.4174140106673,13.5604650943787,5.36091855264152,0.00319236005400565,4.91811134101072,1.99822599311679,5.71567183946036,"Welch Two Sample t-test","two.sided",0.00660356491859715,"Bleached","Identified"
"3","5-Methoxytryptamine",0.363501985658059,11.0302748705562,10.6667728848981,2.45240746774126,0.039874330352453,7.97587320896844,0.0215202142494414,0.705483757066678,"Welch Two Sample t-test","two.sided",0.0428724003037653,"Bleached","Identified"
"4","Acetyl proline",1.37111492847514,11.5535315536923,10.1824166252171,4.29308268849767,0.00998155936313134,4.46783692881065,0.519825782987938,2.22240407396234,"Welch Two Sample t-test","two.sided",0.0145649284584468,"Bleached","Identified"
"5","Acetyllysine",0.763483160510461,14.1161539643958,13.3526708038853,3.05174746824454,0.0199464704311552,6.59651993017933,0.164488948266438,1.36247737275448,"Welch Two Sample t-test","two.sided",0.0252419935544708,"Bleached","Identified"
"6","Aminoadipic acid",0.52133144759194,11.1535148260359,10.632183378444,2.4545050969793,0.0438186898777565,6.99961990817668,0.0190849638420384,1.02357793134184,"Welch Two Sample t-test","two.sided",0.0460740636214646,"Bleached","Identified"
"7","Arginine",3.02325061152586,20.8087697446369,17.785519133111,5.63304639982647,0.00214050293183968,5.20925059005055,1.66012491756105,4.38637630549067,"Welch Two Sample t-test","two.sided",0.00518799863140804,"Bleached","Identified"
"8","Arginine-Valine",0.355640706109062,10.4624322829579,10.1067915768489,3.09943205963886,0.0280195773562521,4.8453701127047,0.0578284771107417,0.653452935107382,"Welch Two Sample t-test","two.sided",0.0317999965233654,"Bleached","Identified"
"9","Asparagine",0.92342806283756,13.9528823263028,13.0294542634653,2.86475105155232,0.021664474971011,7.76266556881756,0.176132864978111,1.67072326069701,"Welch Two Sample t-test","two.sided",0.0264788027423467,"Bleached","Identified"
"10","Cytosine",1.09843324718618,13.3904770301849,12.2920437829988,2.68659545223938,0.0276871501323449,7.98544339034599,0.155308167082918,2.04155832728944,"Welch Two Sample t-test","two.sided",0.0316740997514025,"Bleached","Identified"
"11","Dihydroorotate",0.473215697929481,10.9184064288331,10.4451907309036,2.94900028518232,0.025875217800504,5.95507687019397,0.0798492482892632,0.866582147569699,"Welch Two Sample t-test","two.sided",0.0303291487333777,"Bleached","Identified"
"12","Feature 10",1.31630333230846,14.4606688660316,13.1443655337231,5.01565002466328,0.00136877795562205,7.28033671774766,0.700544548405935,1.93206211621099,"Welch Two Sample t-test","two.sided",0.00420739081252743,"Bleached","Unknown"
"13","Feature 11",3.67124290835392,18.3647409832036,14.6934980748497,5.94702708727735,0.00206835457589794,4.89275756420312,2.07384189702917,5.26864391967868,"Welch Two Sample t-test","two.sided",0.00513225843005947,"Bleached","Unknown"
"14","Feature 12",3.68404563149126,18.3633898214332,14.6793441899419,5.9443078427898,0.00208161530729685,4.88644690276761,2.07970116098513,5.28839010199739,"Welch Two Sample t-test","two.sided",0.00513225843005947,"Bleached","Unknown"
"15","Feature 13",1.87940359006504,14.6853204326513,12.8059168425863,4.17050031855785,0.00555734407652536,6.15418297174195,0.783383854578479,2.9754233255516,"Welch Two Sample t-test","two.sided",0.00946071670170388,"Bleached","Unknown"
"16","Feature 14",3.42943281554756,19.6219908049224,16.1925579893748,5.83224792534489,0.00339286240148136,4.31475848975283,1.84276253435772,5.0161030967374,"Welch Two Sample t-test","two.sided",0.00670696039168268,"Bleached","Unknown"
"17","Feature 15",3.16633928780262,14.3762646152334,11.2099253274308,7.30965834075471,9.95685747332571e-05,7.71892835069138,2.16107608673455,4.17160248887069,"Welch Two Sample t-test","two.sided",0.00088235672384915,"Bleached","Unknown"
"18","Feature 16",3.34291665897416,19.4377977191751,16.0948810602009,5.34294336148706,0.00278952527631267,5.16734647956926,1.75012291693396,4.93571040101437,"Welch Two Sample t-test","two.sided",0.00604397143201078,"Bleached","Unknown"
"19","Feature 17",3.68348723482672,18.5935100673893,14.9100228325625,5.62892279483787,0.00272009185132131,4.84020212438417,1.98449300405583,5.38248146559762,"Welch Two Sample t-test","two.sided",0.00598420207290688,"Bleached","Unknown"
"20","Feature 22",1.46964059281506,14.1072072058171,12.6375666130021,4.72054039090369,0.00183164191699728,7.43522224500721,0.742110901143995,2.19717028448613,"Welch Two Sample t-test","two.sided",0.00485045915056687,"Bleached","Unknown"
"21","Feature 23",0.931729212517642,15.5114787237539,14.5797495112363,3.006932552807,0.0174750680701902,7.76819920673,0.213461546246502,1.64999687878878,"Welch Two Sample t-test","two.sided",0.0227175884912472,"Bleached","Unknown"
"22","Feature 25",1.1617329676091,17.472319302782,16.3105863351729,3.81444245302578,0.0060141052551875,7.34850802478973,0.44842533397729,1.8750406012409,"Welch Two Sample t-test","two.sided",0.00993669293825817,"Bleached","Unknown"
"23","Feature 26",0.948578005862959,16.409237096644,15.460659090781,2.77072905241338,0.027032714193016,7.16408883861899,0.142776448120286,1.75437956360563,"Welch Two Sample t-test","two.sided",0.0311748236258169,"Bleached","Unknown"
"24","Feature 27",1.95483411322252,17.1969966514651,15.2421625382425,3.30577300623954,0.0148216386647035,6.40001595550649,0.529520772716952,3.38014745372809,"Welch Two Sample t-test","two.sided",0.0199952295193641,"Bleached","Unknown"
"25","Feature 32",4.65091984145185,17.0920715417452,12.4411517002933,3.24737187521283,0.0117480539557085,7.99957537131601,1.34820617200679,7.9536335108969,"Welch Two Sample t-test","two.sided",0.0164368277953343,"Bleached","Unknown"
"26","Feature 35",3.03555988719414,20.8061037122842,17.7705438250901,5.61788938129129,0.00218044081629086,5.19934818805559,1.66244256039179,4.40867721399649,"Welch Two Sample t-test","two.sided",0.00519671727882654,"Bleached","Unknown"
"27","Feature 36",1.88918531787744,15.5327437667753,13.6435584488979,4.65502414077998,0.00342383292722263,6.0413377230225,0.897780483294411,2.88059015246047,"Welch Two Sample t-test","two.sided",0.00670696039168268,"Bleached","Unknown"
"28","Feature 37",2.58286179964744,14.7205024237458,12.1376406240983,5.80345551225288,0.00141227104196725,5.6531550451626,1.47744621035194,3.68827738894294,"Welch Two Sample t-test","two.sided",0.00420739081252743,"Bleached","Unknown"
"29","Feature 40",1.78550899114868,15.6615457799609,13.8760367888122,4.74778509216995,0.00153830288596912,7.82853088404977,0.914967958034869,2.65605002426249,"Welch Two Sample t-test","two.sided",0.00423097321354174,"Bleached","Unknown"
"30","Feature 41",1.6224360281988,17.6384394188698,16.016003390671,3.78691964661982,0.00910802033284415,5.99935377397912,0.574074305221347,2.67079775117625,"Welch Two Sample t-test","two.sided",0.0140048054580292,"Bleached","Unknown"
