"","Metabolite","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","p.adj","Enrichment.dir","Feature.status"
"1","Feature 100",2.85220405377234,13.6643279503605,10.8121238965882,4.1062678893317,0.0041705958784993,7.28038334388888,1.22247789977779,4.48193020776689,"Welch Two Sample t-test","two.sided",0.00951254322906263,"Control","Unknown"
"2","Feature 101",4.05371037968251,14.1929551096238,10.1392447299413,9.79450281394337,0.000201817695529244,4.94040176189608,2.98593617364306,5.12148458572195,"Welch Two Sample t-test","two.sided",0.00380570511569431,"Control","Unknown"
"3","Feature 102",4.30796953198199,14.4472142619232,10.1392447299413,11.9247119605079,5.19375813673439e-05,5.26677316064027,3.39328211465662,5.22265694930735,"Welch Two Sample t-test","two.sided",0.00173948708058748,"Control","Unknown"
"4","Feature 103",2.89623876351013,13.3099999857819,10.4137612222718,6.01865217389079,0.000316856050041649,7.99930522786908,1.78654852996451,4.00592899705575,"Welch Two Sample t-test","two.sided",0.00464722206727752,"Control","Unknown"
"5","Feature 104",2.60770426222587,12.8909750392909,10.283270777065,5.598971287541,0.000956878882009025,6.68647284550231,1.4958320955278,3.71957642892393,"Welch Two Sample t-test","two.sided",0.00593859590848892,"Control","Unknown"
"6","Feature 105",2.12903112927477,12.330793312972,10.2017621836972,5.53637868088826,0.00067543076847077,7.54038960746501,1.23275309353282,3.02530916501672,"Welch Two Sample t-test","two.sided",0.00593859590848892,"Control","Unknown"
"7","Feature 106",2.33592307989664,12.9656567812409,10.6297337013443,5.01438195546242,0.00108940930798922,7.86234890816567,1.2584008562273,3.41344530356598,"Welch Two Sample t-test","two.sided",0.00593859590848892,"Control","Unknown"
"8","Feature 107",3.36326994217755,13.4018797714553,10.0386098292778,10.1800717080375,0.000431268386904338,4.15529742604311,2.45935716373338,4.26718272062172,"Welch Two Sample t-test","two.sided",0.00517522064285206,"Control","Unknown"
"9","Feature 108",3.02519340957125,13.0334043086097,10.0082108990384,7.37489833066778,0.00165653846881983,4.08649532670993,1.8957361012127,4.15465071792979,"Welch Two Sample t-test","two.sided",0.00593859590848892,"Control","Unknown"
"10","Feature 109",1.75336948799276,11.9760562229034,10.2226867349106,4.49010248590381,0.00425181856450527,5.93959266715287,0.795498300666363,2.71124067531916,"Welch Two Sample t-test","two.sided",0.00951254322906263,"Control","Unknown"
"11","Feature 110",2.10115363676352,12.3009355531816,10.1997819164181,6.16667822817257,0.000863475317261925,5.94692053160235,1.2656175957298,2.93668967779725,"Welch Two Sample t-test","two.sided",0.00593859590848892,"Control","Unknown"
"12","Feature 112",4.2402125442919,14.9412590315993,10.7010464873074,6.98498711375113,0.000988352292891796,4.92032373496588,2.67211856129212,5.80830652729168,"Welch Two Sample t-test","two.sided",0.00593859590848892,"Control","Unknown"
"13","Feature 113",4.06451267912096,14.5122766087865,10.4477639296655,9.96207463305963,1.24080846190393e-05,7.61021105488827,3.11521178914338,5.01381356909855,"Welch Two Sample t-test","two.sided",0.00163786716971318,"Control","Unknown"
