Vial,Date,Run,Well,Sample.Type,Concentration
A,20210628,1,A1,Standard,2000
A,20210628,1,B1,Standard,2000
A,20210628,1,C1,Standard,2000
B,20210628,1,D1,Standard,1500
B,20210628,1,E1,Standard,1500
B,20210628,1,F1,Standard,1500
C,20210628,1,G1,Standard,1000
C,20210628,1,H1,Standard,1000
C,20210628,1,A2,Standard,1000
D,20210628,1,B2,Standard,750
D,20210628,1,C2,Standard,750
D,20210628,1,D2,Standard,750
E,20210628,1,E2,Standard,500
E,20210628,1,F2,Standard,500
E,20210628,1,G2,Standard,500
F,20210628,1,H2,Standard,250
F,20210628,1,A3,Standard,250
F,20210628,1,B3,Standard,250
G,20210628,1,C3,Standard,125
G,20210628,1,D3,Standard,125
G,20210628,1,E3,Standard,125
H,20210628,1,F3,Standard,25
H,20210628,1,G3,Standard,25
H,20210628,1,H3,Standard,25
I,20210628,1,A4,Blank,0
I,20210628,1,B4,Blank,0
I,20210628,1,C4,Blank,0
4,20210628,1,D4,Sample,
4,20210628,1,E4,Sample,
4,20210628,1,F4,Sample,
10,20210628,1,G4,Sample,
10,20210628,1,H4,Sample,
10,20210628,1,A5,Sample,
16,20210628,1,B5,Sample,
16,20210628,1,C5,Sample,
16,20210628,1,D5,Sample,
22,20210628,1,E5,Sample,
22,20210628,1,F5,Sample,
22,20210628,1,G5,Sample,
28,20210628,1,H5,Sample,
28,20210628,1,A6,Sample,
28,20210628,1,B6,Sample,
34,20210628,1,C6,Sample,
34,20210628,1,D6,Sample,
34,20210628,1,E6,Sample,
NA,20210628,1,F6,NA,
NA,20210628,1,G6,NA,
NA,20210628,1,H6,NA,
NA,20210628,1,A7,NA,
NA,20210628,1,B7,NA,
NA,20210628,1,C7,NA,
NA,20210628,1,D7,NA,
NA,20210628,1,E7,NA,
NA,20210628,1,F7,NA,
NA,20210628,1,G7,NA,
NA,20210628,1,H7,NA,
NA,20210628,1,A8,NA,
NA,20210628,1,B8,NA,
NA,20210628,1,C8,NA,
NA,20210628,1,D8,NA,
NA,20210628,1,E8,NA,
NA,20210628,1,F8,NA,
NA,20210628,1,G8,NA,
NA,20210628,1,H8,NA,
NA,20210628,1,A9,NA,
NA,20210628,1,B9,NA,
NA,20210628,1,C9,NA,
NA,20210628,1,D9,NA,
NA,20210628,1,E9,NA,
NA,20210628,1,F9,NA,
NA,20210628,1,G9,NA,
NA,20210628,1,H9,NA,
NA,20210628,1,A10,NA,
NA,20210628,1,B10,NA,
NA,20210628,1,C10,NA,
NA,20210628,1,D10,NA,
NA,20210628,1,E10,NA,
NA,20210628,1,F10,NA,
NA,20210628,1,G10,NA,
NA,20210628,1,H10,NA,
NA,20210628,1,A11,NA,
NA,20210628,1,B11,NA,
NA,20210628,1,C11,NA,
NA,20210628,1,D11,NA,
NA,20210628,1,E11,NA,
NA,20210628,1,F11,NA,
NA,20210628,1,G11,NA,
NA,20210628,1,H11,NA,
NA,20210628,1,A12,NA,
NA,20210628,1,B12,NA,
NA,20210628,1,C12,NA,
NA,20210628,1,D12,NA,
