Well,562
A1,2.287
B1,1.863
C1,1.256
D1,1.097
E1,0.797
F1,0.481
G1,0.29
H1,0.122
A2,2.436
B2,1.979
C2,1.46
D2,1.256
E2,0.945
F2,0.517
G2,0.319
H2,0.116
A3,2.629
B3,2.048
C3,1.508
D3,1.242
E3,0.905
F3,0.532
G3,0.328
H3,0.128
A4,0.085
B4,0.532
C4,0.628
D4,0.867
E4,0.604
F4,0.724
G4,0.378
H4,0.456
A5,0.085
B5,0.611
C5,0.619
D5,0.901
E5,0.566
F5,0.732
G5,0.383
H5,0.474
A6,0.086
B6,0.603
C6,0.626
D6,0.897
E6,0.614
F6,0.743
G6,0.388
H6,0.471
A7,0.426
B7,0.461
C7,0.578
D7,0.663
E7,0.326
F7,0.344
G7,0.502
H7,0.689
A8,0.442
B8,0.528
C8,0.591
D8,0.724
E8,0.337
F8,0.35
G8,0.509
H8,0.754
A9,0.433
B9,0.529
C9,0.57
D9,0.717
E9,0.33
F9,0.355
G9,0.527
H9,0.727
A10,0.451
B10,0.588
C10,0.404
D10,0.461
E10,0.442
F10,0.491
G10,0.044
H10,0.045
A11,0.46
B11,0.594
C11,0.413
D11,0.468
E11,0.454
F11,0.492
G11,0.044
H11,0.044
A12,0.469
B12,0.591
C12,0.423
D12,0.485
E12,0.462
F12,0.503
G12,0.045
H12,0.045
