"","X","Fragment.ID","Temp.Cat","Pnet_umol.cm2.hr","Rdark_umol.cm2.hr","Pgross_umol.cm2.hr","Timepoint"
"1",1,"R1","Ambient",0.431149875236218,-0.498489580682473,0.929639455918691,"T1"
"2",2,"R10","Ambient",0.357775471615904,-0.583540711705274,0.941316183321178,"T1"
"3",3,"R11","Hot",0.505827306374198,-0.68101910034462,1.18684640671882,"T1"
"4",4,"R12","Hot",0.376609901741955,-0.583230314443314,0.959840216185269,"T1"
"5",5,"R13","Ambient",0.417458026392277,-0.525730222671774,0.943188249064051,"T1"
"6",6,"R14","Ambient",0.215081278202202,-0.522422523419227,0.737503801621429,"T1"
"7",7,"R15","Ambient",0.156375784894502,-0.5087233375969,0.665099122491402,"T1"
"8",8,"R16","Ambient",0.457423501101718,-0.838590143502062,1.29601364460378,"T1"
"9",9,"R17","Ambient",0.418778504270092,-0.69985488214636,1.11863338641645,"T1"
"10",10,"R18","Ambient",0.355804418004608,-0.519611946744607,0.875416364749215,"T1"
"11",11,"R19","Hot",0.383549356954316,-0.7260468397059,1.10959619666022,"T1"
"12",12,"R2","Ambient",0.299887581293232,-0.546813225308062,0.846700806601294,"T1"
"13",13,"R20","Hot",0.164107111078926,-0.478329607873063,0.642436718951989,"T1"
"14",14,"R21","Hot",0.48650939191614,-0.720408689661409,1.20691808157755,"T1"
"15",15,"R22","Ambient",0.308018711493616,-0.59880726976908,0.906825981262696,"T1"
"16",16,"R23","Ambient",0.242385534244131,-0.488336617716216,0.730722151960347,"T1"
"17",17,"R24","Hot",0.249022103722447,-0.506219759755557,0.755241863478004,"T1"
"18",18,"R25","Ambient",0.307079090993873,-0.816965011613587,1.12404410260746,"T1"
"19",19,"R26","Hot",0.152410718207924,-0.613811745167435,0.766222463375359,"T1"
"20",20,"R27","Hot",0.00733621588228634,-0.648496602609577,0.655832818491863,"T1"
"21",21,"R28","Hot",0.219381985613691,-0.79938849177632,1.01877047739001,"T1"
"22",22,"R29","Hot",0.328868935570103,-0.740019997300849,1.06888893287095,"T1"
"23",23,"R3","Hot",0.369926873391159,-0.537662738538691,0.90758961192985,"T1"
