"","Group","Timepoint","N","Pnet.mean","Pnet.se","Rdark.mean","Rdark.se","Pgross.mean","Pgross.se","PR.mean","PR.se"
"1","Control","T1",5,0.217298034897336,0.0618128372535139,-0.660229397362256,0.0436539579042301,0.877527432259591,0.073726104364633,1.33847099216917,0.0959669978093282
"2","Control","T2",5,0.438430230107712,0.118289839539355,-0.509306695309286,0.0536706010505706,0.947736925416997,0.15317784285769,1.84149990141192,0.183025672122325
"3","Control","T3",5,0.104147359161621,0.0543562048494204,-0.474591037846572,0.0405263393736317,0.578738397008193,0.0676874101405351,1.22773612872881,0.125665369577255
"4","Bleached","T1",5,0.278995993554448,0.0371069321289025,-0.661258780523194,0.0752687710899461,0.940254774077642,0.0991346217604864,1.42904068098154,0.0495842643900064
"5","Bleached","T2",5,-0.25029934122346,0.0614506060283406,-0.366811247202735,0.0559000193401363,0.116511905979276,0.0067980316361806,0.354681184595413,0.0645657958908014
"6","Bleached","T3",5,-0.315542108623696,0.0355560653197609,-0.390665058334661,0.0230997570506887,0.0751229497109646,0.0312305996127719,0.190821998103268,0.0787736633523751
"7","Mortality","T1",5,0.19845723425391,0.0831855817229109,-0.696325996407567,0.0483309035456327,0.894783230661477,0.0937453232448811,1.29004217265859,0.12069387921372
"8","Mortality","T2",5,-0.299790829439106,0.0521885450648767,-0.401466939460555,0.0193652096507595,0.101676110021449,0.0473857263767442,0.256945137574985,0.120435208843741
"9","Mortality","T3",5,-0.242396732248314,0.0353277018410658,-0.461877161793027,0.0411732932657973,0.219480429544713,0.0577279006401832,0.455457908393345,0.0911307498102897
