"","Fragment.ID","X","Temp.Cat.x","Pnet_umol.cm2.hr","Rdark_umol.cm2.hr","Pgross_umol.cm2.hr","Timepoint","PR","Temp.Cat.y","Group","abs.Rdark_umol.cm2.hr"
"1","R11",3,"Hot",-0.231892408440893,-0.333985881852123,0.10209347341123,"T3",0.305682003218427,"Hot","Mortality",0.333985881852123
"2","R11",3,"Hot",0.505827306374198,-0.68101910034462,1.18684640671882,"T1",1.74275054270612,"Hot","Mortality",0.68101910034462
"3","R11",3,"Hot",-0.362459195564437,-0.365785723744425,0.00332652817998796,"T2",0.00909419904619408,"Hot","Mortality",0.365785723744425
"4","R17",9,"Ambient",0.26802023221355,-0.424056537458183,0.692076769671733,"T3",1.63203891117934,"Ambient","Control",0.424056537458183
"5","R17",9,"Ambient",0.710850188949669,-0.618316551950694,1.32916674090036,"T2",2.14965414835984,"Ambient","Control",0.618316551950694
"6","R17",9,"Ambient",0.418778504270092,-0.69985488214636,1.11863338641645,"T1",1.59837905679211,"Ambient","Control",0.69985488214636
"7","R19",11,"Hot",-0.419077503194767,-0.475804728986791,0.056727225792024,"T3",0.119223753645372,"Hot","Bleached",0.475804728986791
"8","R19",11,"Hot",0.383549356954316,-0.7260468397059,1.10959619666022,"T1",1.52827081667305,"Hot","Bleached",0.7260468397059
"9","R19",11,"Hot",-0.118482645777323,-0.259679783730502,0.141197137953179,"T2",0.543735580509088,"Hot","Bleached",0.259679783730502
"10","R20",13,"Hot",-0.359478597885597,-0.359114614508228,-0.000363983377368982,"T3",-0.0010135576851068,"Hot","Bleached",0.359114614508228
"11","R20",13,"Hot",-0.161168333606624,-0.279640299212412,0.118471965605788,"T2",0.423658413824675,"Hot","Bleached",0.279640299212412
"12","R20",13,"Hot",0.164107111078926,-0.478329607873063,0.642436718951989,"T1",1.3430837405375,"Hot","Bleached",0.478329607873063
"13","R23",16,"Ambient",-0.0432976128733416,-0.441133864283363,0.397836251410021,"T3",0.901849265316141,"Ambient","Control",0.441133864283363
"14","R23",16,"Ambient",0.242385534244131,-0.488336617716216,0.730722151960347,"T1",1.49634929155566,"Ambient","Control",0.488336617716216
"15","R23",16,"Ambient",0.234861575543515,-0.618939035225753,0.853800610769268,"T2",1.37945833462879,"Ambient","Control",0.618939035225753
"16","R26",19,"Hot",-0.166247091345944,-0.456797687267144,0.2905505959212,"T3",0.636059691237623,"Hot","Mortality",0.456797687267144
"17","R26",19,"Hot",-0.328214684268609,-0.454917824000489,0.12670313973188,"T2",0.27851874129193,"Hot","Mortality",0.454917824000489
"18","R26",19,"Hot",0.152410718207924,-0.613811745167435,0.766222463375359,"T1",1.24830205581412,"Hot","Mortality",0.613811745167435
"19","R28",21,"Hot",-0.196050107240207,-0.594150153099676,0.398100045859469,"T3",0.670032724526931,"Hot","Mortality",0.594150153099676
"20","R28",21,"Hot",0.219381985613691,-0.79938849177632,1.01877047739001,"T1",1.27443725781716,"Hot","Mortality",0.79938849177632
"21","R28",21,"Hot",-0.190761041998283,-0.351249767429743,0.16048872543146,"T2",0.456907705892107,"Hot","Mortality",0.351249767429743
"22","R29",22,"Hot",-0.208516511270356,-0.398703331402861,0.190186820132505,"T3",0.477013370977668,"Hot","Bleached",0.398703331402861
"23","R29",22,"Hot",-0.184252321060692,-0.298595729499284,0.114343408438592,"T2",0.382937186108906,"Hot","Bleached",0.298595729499284
"24","R29",22,"Hot",0.328868935570103,-0.740019997300849,1.06888893287095,"T1",1.44440547116243,"Hot","Bleached",0.740019997300849
"25","R32",26,"Ambient",0.199915052571803,-0.373477716967055,0.573392769538858,"T2",1.53527973287209,"Ambient","Control",0.373477716967055
"26","R32",25,"Ambient",0.123385337604759,-0.386654411308063,0.510039748912822,"T3",1.31911012520805,"Ambient","Control",0.386654411308063
"27","R32",26,"Ambient",0.0398541228237605,-0.692044385856385,0.731898508680145,"T1",1.05758896920238,"Ambient","Control",0.692044385856385
"28","R35",28,"Hot",-0.245417764206228,-0.458590568526355,0.213172804320127,"T3",0.464843411422832,"Hot","Mortality",0.458590568526355
"29","R35",29,"Hot",-0.171483845722897,-0.405004161114571,0.233520315391674,"T2",0.576587447272212,"Hot","Mortality",0.405004161114571
"30","R35",29,"Hot",0.0296719298720283,-0.81420222733402,0.843874157206048,"T1",1.03644294854017,"Hot","Mortality",0.81420222733402
"31","R36",29,"Hot",-0.372376290008298,-0.465861518219837,0.093485228211539,"T3",0.200671711560911,"Hot","Mortality",0.465861518219837
"32","R36",30,"Hot",-0.446035379641305,-0.430377221013546,-0.015658158627759,"T2",-0.0363824056275185,"Hot","Mortality",0.430377221013546
"33","R36",30,"Hot",0.0849942312017064,-0.573208417415439,0.658202648617146,"T1",1.14827805841537,"Hot","Mortality",0.573208417415439
"34","R37",31,"Hot",-0.345535085293069,-0.45165291876383,0.106117833470761,"T2",0.234954384356033,"Hot","Bleached",0.45165291876383
