"","Fragment.ID","Temp.Cat","Pnet_umol.cm2.hr","Rdark_umol.cm2.hr","Pgross_umol.cm2.hr","Timepoint"
"1","R1","Ambient",0.306498764475258,-0.420928864958578,0.727427629433836,"T2"
"2","R10","Ambient",0.533899234179573,-0.586575214900565,1.12047444908014,"T2"
"3","R11","Hot",-0.362459195564437,-0.365785723744425,0.00332652817998796,"T2"
"4","R12","Hot",-0.389550528646147,-0.41265720251909,0.023106673872943,"T2"
"5","R13","Ambient",0.0985259449859707,-0.520090227843764,0.618616172829735,"T2"
"6","R14","Ambient",0.514268351535136,-0.485872573611416,1.00014092514655,"T2"
"7","R15","Ambient",0.305278459587023,-0.60359181312221,0.908870272709233,"T2"
"8","R16","Ambient",0.302724646391111,-0.589941499874152,0.892666146265263,"T2"
"9","R17","Ambient",0.710850188949669,-0.618316551950694,1.32916674090036,"T2"
"10","R18","Ambient",0.109908962578311,-0.48524114362382,0.595150106202131,"T2"
"11","R19","Hot",-0.118482645777323,-0.259679783730502,0.141197137953179,"T2"
"12","R2","Ambient",-0.613960344146628,-0.0973720971756319,-0.516588246970996,"T2"
"13","R20","Hot",-0.161168333606624,-0.279640299212412,0.118471965605788,"T2"
"14","R21","Hot",-0.561801074396451,-0.610365533663184,0.048564459266733,"T2"
"15","R22","Ambient",0.763015077667613,-0.439612279563075,1.20262735723069,"T2"
"16","R23","Ambient",0.234861575543515,-0.618939035225753,0.853800610769268,"T2"
"17","R24","Hot",-0.260205896765899,-0.306537268048477,0.046331371282578,"T2"
"18","R25","Ambient",-0.0101951669006009,-0.468612478838002,0.458417311937401,"T2"
"19","R26","Hot",-0.328214684268609,-0.454917824000489,0.12670313973188,"T2"
"20","R27","Hot",-0.155256870429868,-0.366388188563925,0.211131318134057,"T2"
"21","R28","Hot",-0.190761041998283,-0.351249767429743,0.16048872543146,"T2"
"22","R29","Hot",-0.184252321060692,-0.298595729499284,0.114343408438592,"T2"
"23","R3","Hot",-0.461064515180054,-0.585338998600498,0.124274483420444,"T2"
"24","R30","Hot",-0.0570673198944763,-0.381559638041841,0.324492318147365,"T2"
"25","R31","Hot",-0.751248638349763,-0.626831186282081,-0.124417452067682,"T2"
"26","R32","Ambient",0.199915052571803,-0.373477716967055,0.573392769538858,"T2"
"27","R33","Ambient",0.167947917643134,-0.523469312146786,0.69141722978992,"T2"
"28","R34","Ambient",0.175173617333471,-0.879641141695453,1.05481475902892,"T2"
"29","R35","Hot",-0.171483845722897,-0.405004161114571,0.233520315391674,"T2"
"30","R36","Hot",-0.446035379641305,-0.430377221013546,-0.015658158627759,"T2"
"31","R37","Hot",-0.345535085293069,-0.45165291876383,0.106117833470761,"T2"
"32","R38","Hot",-0.48745748788526,-0.425045897164548,-0.062411590720712,"T2"
"33","R39","Ambient",-0.294343750068949,-0.695498797916536,0.401155047847587,"T2"
"34","R4","Hot",-0.395850460492042,-0.550842787998805,0.154992327506763,"T2"
"35","R40","Ambient",0.307722742490399,-0.390991882383731,0.69871462487413,"T2"
"36","R5","Ambient",0.21057882743057,-0.616487635868088,0.827066463298658,"T2"
"37","R6","Ambient",0.331530593128229,-0.578778781412866,0.910309374541095,"T2"
"38","R7","Ambient",0.738801590983175,-0.544808290019197,1.28360988100237,"T2"
"39","R8","Hot",-0.442058320379591,-0.544487504807649,0.102429184428058,"T2"
