mVTris,TTris,Notes
-64.2,21.84,
-63.6,22.58,
-63.1,22.97,
-62.5,23.56,
-62.1,24.12,
-61.8,24.46,
-61,25.13,
-60.7,25.47,
-60.2,26.01,
-59.8,26.48,
-59.1,27.17,
-58.8,27.45,
-57.7,28.06,
-57.8,28.55,
-57.1,29,
-56.8,29.4,
-56,29.98,
-55.5,30.46,
-54.9,31.18,
