mVTris,TTris,Notes
-68.6,22.15,
-66.8,23.55,
-66.2,23.98,
-65.1,25.01,
-63.8,26,
-62.6,27.01,
-61.9,27.64,
-60.9,28.4,
-59.8,29.29,
-59.2,29.85,
-58.1,30.44,
