mVTris,TTris,Notes
-65.7,20.07,
-65.5,20.99,
-64.9,21.7,
-64.2,22.35,
-63.3,23.3,
-63,24.4,
-62.7,24.9,
-62.4,24.9,
-61.9,25.48,
-61.2,26.29,
-60.7,26.68,
-60.2,27.29,
-59.7,27.85,
-59,28.35,
-58.4,29.02,
-58.1,29.34,
-57.6,29.73,
-56.8,30.46,
