mVTris,TTris,Notes
-66.2,22.02,
-65.4,22.62,
-65.0,23.06,
-64.1,23.62,
-63.9,23.91,
-63.2,24.47,
-62.3,25.17,
-62.1,25.57,
-61.7,26.00,
-61.0,26.64,
-60.4,27.20,
-60.0,27.61,
-59.5,28.08,
-59.1,28.53,
-58.5,29.04,
-58.1,29.46,
-57.4,30.08,
-57.0,30.58,
-56.5,31.05,
-55.9,31.52,
-55.1,32.00,
-54.4,32.52,
-54.1,32.90,
-53.5,33.50,
-52.9,33.96,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
