mVTris,TTris,Notes
-57.4,30.9,
-57.9,30.47,
-58.4,30,
-59.4,29.06,
-59.3,28.61,
-60.7,28,
-61.5,27.47,
-61.6,27.06,
-58.9,29.53,
-62.2,26.48,
-62.6,26.15,
-63,25.53,
-63.1,25.04,
-63.7,24.48,
-64,24.12,
-64.5,23.48,
-65.4,22.99,
-66.3,22.53,
-67.1,22.03,
